List of MCUs selection: 1617 items. Database version: Wed Jan 22 05:50:05 PST 2020,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Part No,Reference,Marketing Status,Unit Price for 10kU (US$),Board,Package,Flash,RAM,IO,Freq.
STM32F030C6,STM32F030C6Tx,Active,0.597,,LQFP48,32 kBytes,4 kBytes,39,48 MHz
STM32F030C8,STM32F030C8Tx,Active,0.722,,LQFP48,64 kBytes,8 kBytes,39,48 MHz
STM32F030CC,STM32F030CCTx,Active,1.1,,LQFP48,256 kBytes,32 kBytes,37,48 MHz
STM32F030F4,STM32F030F4Px,Active,0.424,,TSSOP20,16 kBytes,4 kBytes,15,48 MHz
STM32F030K6,STM32F030K6Tx,Active,0.518,,LQFP32,32 kBytes,4 kBytes,25,48 MHz
STM32F030R8,STM32F030R8Tx,Active,0.754,"32F0308DISCOVERY, NUCLEO-F030R8",LQFP64,64 kBytes,8 kBytes,55,48 MHz
STM32F030RC,STM32F030RCTx,Active,1.21,,LQFP64,256 kBytes,32 kBytes,51,48 MHz
STM32F031C4,STM32F031C4Tx,Active,0.97,,LQFP48,16 kBytes,4 kBytes,39,48 MHz
STM32F031C6,STM32F031C6Tx,Active,1.013,,LQFP48,32 kBytes,4 kBytes,39,48 MHz
STM32F031E6,STM32F031E6Yx,Active,0.776,,WLCSP25,32 kBytes,4 kBytes,20,48 MHz
STM32F031F4,STM32F031F4Px,Active,0.711,,TSSOP20,16 kBytes,4 kBytes,15,48 MHz
STM32F031F6,STM32F031F6Px,Active,0.755,,TSSOP20,32 kBytes,4 kBytes,15,48 MHz
STM32F031G4,STM32F031G4Ux,Active,0.733,,UFQFPN28,16 kBytes,4 kBytes,23,48 MHz
STM32F031G6,STM32F031G6Ux,Active,0.776,,UFQFPN28,32 kBytes,4 kBytes,23,48 MHz
STM32F031K4,STM32F031K4Ux,Active,0.862,,UFQFPN32,16 kBytes,4 kBytes,27,48 MHz
STM32F031K6,STM32F031K6Tx,Active,0.906,NUCLEO-F031K6,LQFP32,32 kBytes,4 kBytes,25,48 MHz
STM32F031K6,STM32F031K6Ux,Active,0.906,,UFQFPN32,32 kBytes,4 kBytes,27,48 MHz
STM32F038C6,STM32F038C6Tx,Active,1.013,,LQFP48,32 kBytes,4 kBytes,38,48 MHz
STM32F038E6,STM32F038E6Yx,Active,0.776,,WLCSP25,32 kBytes,4 kBytes,20,48 MHz
STM32F038F6,STM32F038F6Px,Active,0.755,,TSSOP20,32 kBytes,4 kBytes,14,48 MHz
STM32F038G6,STM32F038G6Ux,Active,0.776,,UFQFPN28,32 kBytes,4 kBytes,22,48 MHz
STM32F038K6,STM32F038K6Ux,Active,0.906,,UFQFPN32,32 kBytes,4 kBytes,26,48 MHz
STM32F042C4,STM32F042C4Tx,Active,1.057,,LQFP48,16 kBytes,6 kBytes,38,48 MHz
STM32F042C4,STM32F042C4Ux,Active,1.057,,UFQFPN48,16 kBytes,6 kBytes,38,48 MHz
STM32F042C6,STM32F042C6Tx,Active,1.1,,LQFP48,32 kBytes,6 kBytes,38,48 MHz
STM32F042C6,STM32F042C6Ux,Active,1.1,,UFQFPN48,32 kBytes,6 kBytes,38,48 MHz
STM32F042F4,STM32F042F4Px,Active,0.862,,TSSOP20,16 kBytes,6 kBytes,16,48 MHz
STM32F042F6,STM32F042F6Px,Active,0.906,,TSSOP20,32 kBytes,6 kBytes,16,48 MHz
STM32F042G4,STM32F042G4Ux,Active,0.884,,UFQFPN28,16 kBytes,6 kBytes,23,48 MHz
STM32F042G6,STM32F042G6Ux,Active,0.927,,UFQFPN28,32 kBytes,6 kBytes,23,48 MHz
STM32F042K4,STM32F042K4Tx,Active,1.013,,LQFP32,16 kBytes,6 kBytes,26,48 MHz
STM32F042K4,STM32F042K4Ux,Active,1.013,,UFQFPN32,16 kBytes,6 kBytes,28,48 MHz
STM32F042K6,STM32F042K6Tx,Active,1.057,NUCLEO-F042K6,LQFP32,32 kBytes,6 kBytes,26,48 MHz
STM32F042K6,STM32F042K6Ux,Active,1.057,,UFQFPN32,32 kBytes,6 kBytes,28,48 MHz
STM32F042T6,STM32F042T6Yx,Active,1.057,,WLCSP36,32 kBytes,6 kBytes,30,48 MHz
STM32F048C6,STM32F048C6Ux,Active,1.1,,UFQFPN48,32 kBytes,6 kBytes,37,48 MHz
STM32F048G6,STM32F048G6Ux,Active,0.927,,UFQFPN28,32 kBytes,6 kBytes,22,48 MHz
STM32F048T6,STM32F048T6Yx,Active,1.057,,WLCSP36,32 kBytes,6 kBytes,29,48 MHz
