"Position","Name","Type","Signal","Label"
"A1","PA13","I/O","",""
"A2","PA14","I/O","",""
"A3","PB7","I/O","",""
"A4","BOOT0","Boot","",""
"A5","PF0-OSC_IN","I/O","",""
"B1","PA10","I/O","",""
"B2","PB6","I/O","",""
"B3","PA4","I/O","",""
"B4","PA0","I/O","",""
"B5","PF1-OSC_OUT","I/O","",""
"C1","PA9","I/O","",""
"C2","PB5","I/O","",""
"C3","PA5","I/O","",""
"C4","PA1","I/O","",""
"C5","NRST","Reset","",""
"D1","VDD","Power","",""
"D2","PA8","I/O","",""
"D3","PA6","I/O","",""
"D4","PA2","I/O","",""
"D5","VDDA","Power","",""
"E1","VSS","Power","",""
"E2","PB1","I/O","",""
"E3","PB0","I/O","",""
"E4","PA7","I/O","",""
"E5","PA3","I/O","",""
