"Position","Name","Type","Signal","Label"
"A1","PA12","I/O","",""
"A2","PA15","I/O","",""
"A3","PB4","I/O","",""
"A4","PB7","I/O","",""
"A5","VDD","Power","",""
"A6","PC13","I/O","",""
"B1","PA13","I/O","",""
"B2","PA14","I/O","",""
"B3","PB3","I/O","",""
"B4","BOOT0","Boot","",""
"B5","PF0-OSC_IN","I/O","",""
"B6","PC14-OSC32_IN","I/O","",""
"C1","PA10","I/O","",""
"C2","PA11","I/O","",""
"C3","PA4","I/O","",""
"C4","PB6","I/O","",""
"C5","PF1-OSC_OUT","I/O","",""
"C6","PC15-OSC32_OUT","I/O","",""
"D1","PA9","I/O","",""
"D2","PB2","I/O","",""
"D3","PA5","I/O","",""
"D4","PA1","I/O","",""
"D5","NRST","Reset","",""
"D6","VSSA","Power","",""
"E1","VDD","Power","",""
"E2","PA8","I/O","",""
"E3","PA6","I/O","",""
"E4","PA2","I/O","",""
"E5","VDDA","Power","",""
"E6","PB5","I/O","",""
"F1","VSS","Power","",""
"F2","PB1","I/O","",""
"F3","PB0","I/O","",""
"F4","PA7","I/O","",""
"F5","PA3","I/O","",""
"F6","PA0","I/O","",""
