"Position","Name","Type","Signal","Label"
"1","VDD","Power","",""
"2","PC13","I/O","",""
"3","PC14-OSC32_IN","I/O","",""
"4","PC15-OSC32_OUT","I/O","",""
"5","PF0-OSC_IN","I/O","",""
"6","PF1-OSC_OUT","I/O","",""
"7","NRST","Reset","",""
"8","VSSA","Power","",""
"9","VDDA","Power","",""
"10","PA0","I/O","",""
"11","PA1","I/O","",""
"12","PA2","I/O","",""
"13","PA3","I/O","",""
"14","PA4","I/O","",""
"15","PA5","I/O","",""
"16","PA6","I/O","",""
"17","PA7","I/O","",""
"18","PB0","I/O","",""
"19","PB1","I/O","",""
"20","PB2","I/O","",""
"21","PB10","I/O","",""
"22","PB11","I/O","",""
"23","VSS","Power","",""
"24","VDD","Power","",""
"25","PB12","I/O","",""
"26","PB13","I/O","",""
"27","PB14","I/O","",""
"28","PB15","I/O","",""
"29","PA8","I/O","",""
"30","PA9","I/O","",""
"31","PA10","I/O","",""
"32","PA11","I/O","",""
"33","PA12","I/O","",""
"34","PA13","I/O","",""
"35","VSS","Power","",""
"36","VDD","Power","",""
"37","PA14","I/O","",""
"38","PA15","I/O","",""
"39","PB3","I/O","",""
"40","PB4","I/O","",""
"41","PB5","I/O","",""
"42","PB6","I/O","",""
"43","PB7","I/O","",""
"44","BOOT0","Boot","",""
"45","PB8","I/O","",""
"46","PB9","I/O","",""
"47","VSS","Power","",""
"48","VDD","Power","",""
