"Position","Name","Type","Signal","Label"
"1","VDD","Power","",""
"2","PD0-OSC_IN","I/O","",""
"3","PD1-OSC_OUT","I/O","",""
"4","NRST","Reset","",""
"5","VSSA","Power","",""
"6","VDDA","Power","",""
"7","PA0-WKUP","I/O","",""
"8","PA1","I/O","",""
"9","PA2","I/O","",""
"10","PA3","I/O","",""
"11","PA4","I/O","",""
"12","PA5","I/O","",""
"13","PA6","I/O","",""
"14","PA7","I/O","",""
"15","PB0","I/O","",""
"16","PB1","I/O","",""
"17","PB2","I/O","",""
"18","VSS","Power","",""
"19","VDD","Power","",""
"20","PA8","I/O","",""
"21","PA9","I/O","",""
"22","PA10","I/O","",""
"23","PA11","I/O","",""
"24","PA12","I/O","",""
"25","PA13","I/O","",""
"26","VSS","Power","",""
"27","VDD","Power","",""
"28","PA14","I/O","",""
"29","PA15","I/O","",""
"30","PB3","I/O","",""
"31","PB4","I/O","",""
"32","PB5","I/O","",""
"33","PB6","I/O","",""
"34","PB7","I/O","",""
"35","BOOT0","Boot","",""
"36","VSS","Power","",""
