"Position","Name","Type","Signal","Label"
"A1","PA14","I/O","",""
"A2","PA15","I/O","",""
"A3","PC12","I/O","",""
"A4","PB3","I/O","",""
"A5","PB5","I/O","",""
"A6","PB7","I/O","",""
"A7","PB9","I/O","",""
"A8","VDD","Power","",""
"A9","VBAT","Power","",""
"B1","VSS","Power","",""
"B2","PA13","I/O","",""
"B3","PC10","I/O","",""
"B4","PB4","I/O","",""
"B5","PB6","I/O","",""
"B6","BOOT0","Boot","",""
"B7","PB8","I/O","",""
"B8","PC13","I/O","",""
"B9","PC14-OSC32_IN","I/O","",""
"C1","PA12","I/O","",""
"C2","VCAP_2","Power","",""
"C3","PC11","I/O","",""
"C7","PD2","I/O","",""
"C8","IRROFF","Power","",""
"C9","PC15-OSC32_OUT","I/O","",""
"D1","PC9","I/O","",""
"D2","PA11","I/O","",""
"D3","PA10","I/O","",""
"D7","PC2","I/O","",""
"D8","VSS","Power","",""
"D9","VDD","Power","",""
"E1","VDD","Power","",""
"E2","PA8","I/O","",""
"E3","PA9","I/O","",""
"E7","PA0-WKUP","I/O","",""
"E8","NRST","Reset","",""
"E9","PH0-OSC_IN","I/O","",""
"F1","VSS","Power","",""
"F2","PC7","I/O","",""
"F3","PC8","I/O","",""
"F7","VREF+","Power","",""
"F8","PC1","I/O","",""
"F9","PH1-OSC_OUT","I/O","",""
"G1","PB15","I/O","",""
"G2","PC6","I/O","",""
"G3","PC5","I/O","",""
"G7","PA3","I/O","",""
"G8","PC3","I/O","",""
"G9","PC0","I/O","",""
"H1","PB14","I/O","",""
"H2","PB13","I/O","",""
"H3","PB10","I/O","",""
"H4","PC4","I/O","",""
"H5","PA6","I/O","",""
"H6","PA5","I/O","",""
"H7","REGOFF","Power","",""
"H8","PA1","I/O","",""
"H9","VSS","Power","",""
"J1","PB12","I/O","",""
"J2","PB11","I/O","",""
"J3","VCAP_1","Power","",""
"J4","PB2","I/O","",""
"J5","PB1","I/O","",""
"J6","PB0","I/O","",""
"J7","PA7","I/O","",""
"J8","PA4","I/O","",""
"J9","PA2","I/O","",""
