"Position","Name","Type","Signal","Label"
"A1","VSS","Power","",""
"A2","VSS","Power","",""
"A3","PC12","I/O","",""
"A4","PD2","I/O","",""
"A5","PB3","I/O","",""
"A6","PB5","I/O","",""
"A7","BOOT0","Boot","",""
"A8","PE1","I/O","",""
"A9","VDD","Power","",""
"A10","VDD","Power","",""
"B1","VSS","Power","",""
"B2","PA15","I/O","",""
"B3","PD0","I/O","",""
"B4","PD3","I/O","",""
"B5","PB4","I/O","",""
"B6","PB6","I/O","",""
"B7","PE0","I/O","",""
"B8","VDD","Power","",""
"B9","PE5","I/O","",""
"B10","VDD","Power","",""
"C1","PF6","I/O","",""
"C2","PA14","I/O","",""
"C3","PD1","I/O","",""
"C4","PD4","I/O","",""
"C5","PB7","I/O","",""
"C6","PB9","I/O","",""
"C7","VSS","Power","",""
"C8","PE4","I/O","",""
"C9","PC13","I/O","",""
"C10","PC14-OSC32_IN","I/O","",""
"D1","PA12","I/O","",""
"D2","VDD","Power","",""
"D3","PC11","I/O","",""
"D4","PD7","I/O","",""
"D5","PB8","I/O","",""
"D6","PE2","I/O","",""
"D7","PE3","I/O","",""
"D8","VBAT","Power","",""
"D9","PC15-OSC32_OUT","I/O","",""
"D10","PF9","I/O","",""
"E1","PA10","I/O","",""
"E2","PA11","I/O","",""
"E3","PA13","I/O","",""
"E4","PC10","I/O","",""
"E5","PA9","I/O","",""
"E6","PE8","I/O","",""
"E7","PE6","I/O","",""
"E8","PF2","I/O","",""
"E9","NRST","Reset","",""
"E10","PF10","I/O","",""
"F1","PC8","I/O","",""
"F2","PC7","I/O","",""
"F3","PC9","I/O","",""
"F4","PC6","I/O","",""
"F5","PA8","I/O","",""
"F6","PC5","I/O","",""
"F7","PA2","I/O","",""
"F8","PE7","I/O","",""
"F9","PF1-OSC_OUT","I/O","",""
"F10","PF0-OSC_IN","I/O","",""
"G1","PD15","I/O","",""
"G2","PD14","I/O","",""
"G3","PD13","I/O","",""
"G4","PD9","I/O","",""
"G5","PE12","I/O","",""
"G6","PC4","I/O","",""
"G7","PA3","I/O","",""
"G8","PC2","I/O","",""
"G9","PC1","I/O","",""
"G10","PC0","I/O","",""
"H1","PD12","I/O","",""
"H2","PD11","I/O","",""
"H3","PD10","I/O","",""
"H4","PB15","I/O","",""
"H5","PE11","I/O","",""
"H6","PA6","I/O","",""
"H7","PA5","I/O","",""
"H8","VSSA","Power","",""
"H9","PA0","I/O","",""
"H10","PC3","I/O","",""
"J1","VSS","Power","",""
"J2","PB14","I/O","",""
"J3","PB13","I/O","",""
"J4","PB12","I/O","",""
"J5","VDD","Power","",""
"J6","PB0","I/O","",""
"J7","PA4","I/O","",""
"J8","VREF+","Power","",""
"J9","PA1","I/O","",""
"J10","VDDA","Power","",""
"K1","VSS","Power","",""
"K2","VSS","Power","",""
"K3","PB11","I/O","",""
"K4","PB10","I/O","",""
"K5","PB2","I/O","",""
"K6","PB1","I/O","",""
"K7","PA7","I/O","",""
"K8","VDD","Power","",""
"K9","VSS","Power","",""
"K10","VSS","Power","",""
