"Position","Name","Type","Signal","Label"
"A1","PA14","I/O","",""
"A2","PA15","I/O","",""
"A3","PC11","I/O","",""
"A4","PD2","I/O","",""
"A5","PB5","I/O","",""
"A6","PB7","I/O","",""
"A7","PB9","I/O","",""
"A8","VBAT","Power","",""
"B1","PF7","I/O","",""
"B2","PF6","I/O","",""
"B3","PC10","I/O","",""
"B4","PC12","I/O","",""
"B5","PB4","I/O","",""
"B6","PB6","I/O","",""
"B7","PB8","I/O","",""
"B8","PC13","I/O","",""
"C1","PA11","I/O","",""
"C2","PA10","I/O","",""
"C3","PA12","I/O","",""
"C4","PA13","I/O","",""
"C5","PB3","I/O","",""
"C6","VSS","Power","",""
"C7","BOOT0","Boot","",""
"C8","PC14-OSC32_IN","I/O","",""
"D1","PA8","I/O","",""
"D2","PC9","I/O","",""
"D3","PA9","I/O","",""
"D6","VDD","Power","",""
"D7","PF0-OSC_IN","I/O","",""
"D8","PC15-OSC32_OUT","I/O","",""
"E1","PC7","I/O","",""
"E2","PC6","I/O","",""
"E3","PC8","I/O","",""
"E6","PC0","I/O","",""
"E7","NRST","Reset","",""
"E8","PF1-OSC_OUT","I/O","",""
"F1","PB15","I/O","",""
"F2","PB14","I/O","",""
"F3","PD8","I/O","",""
"F6","PC3","I/O","",""
"F7","PC2","I/O","",""
"F8","PC1","I/O","",""
"G1","VREFSD+","Power","",""
"G2","NPOR","Reset","",""
"G3","PA7","I/O","",""
"G4","VSS","Power","",""
"G5","VSS","Power","",""
"G6","VREF+","Power","",""
"G7","VDDA","Power","",""
"G8","VSSA/VREF-","Power","",""
"H1","VDDSD","Power","",""
"H2","PE8","I/O","",""
"H3","PB0","I/O","",""
"H4","PC4","I/O","",""
"H5","PA5","I/O","",""
"H6","PA3","I/O","",""
"H7","PA1","I/O","",""
"H8","PA0","I/O","",""
"J1","VSSSD/VREFSD-","Power","",""
"J2","PE9","I/O","",""
"J3","PB1","I/O","",""
"J4","PC5","I/O","",""
"J5","PA6","I/O","",""
"J6","PA4","I/O","",""
"J7","VDD","Power","",""
"J8","PA2","I/O","",""
