"Position","Name","Type","Signal","Label"
"A1","VDD","Power","",""
"A2","PA14","I/O","",""
"A3","PC12","I/O","",""
"A4","PD4","I/O","",""
"A5","PD7","I/O","",""
"A6","PB4","I/O","",""
"A7","BOOT0","Boot","",""
"A8","PDR_ON","Reset","",""
"A9","PC13-ANTI_TAMP","I/O","",""
"A10","VBAT","Power","",""
"B1","VCAP_2","Power","",""
"B2","PI1","I/O","",""
"B3","PA15","I/O","",""
"B4","PD2","I/O","",""
"B5","PD6","I/O","",""
"B6","PB3","I/O","",""
"B7","PB7","I/O","",""
"B8","VDD","Power","",""
"B9","PC15-OSC32_OUT","I/O","",""
"B10","PC14-OSC32_IN","I/O","",""
"C1","PA11","I/O","",""
"C2","PA12","I/O","",""
"C3","PI0","I/O","",""
"C4","PC11","I/O","",""
"C5","PD1","I/O","",""
"C6","PD5","I/O","",""
"C7","PB6","I/O","",""
"C8","PB9","I/O","",""
"C9","VSS","Power","",""
"C10","PA0-WKUP","I/O","",""
"D1","PA8","I/O","",""
"D2","PA9","I/O","",""
"D3","PA10","I/O","",""
"D4","PA13","I/O","",""
"D5","PC10","I/O","",""
"D6","PD0","I/O","",""
"D7","PB5","I/O","",""
"D8","PB8","I/O","",""
"D9","BYPASS_REG","Reset","",""
"D10","PC2","I/O","",""
"E1","PC7","I/O","",""
"E2","PC8","I/O","",""
"E3","PC9","I/O","",""
"E4","VDD","Power","",""
"E5","VSS","Power","",""
"E6","VDD","Power","",""
"E7","VSS","Power","",""
"E8","VSS","Power","",""
"E9","PC3","I/O","",""
"E10","PC0","I/O","",""
"F1","PD15","I/O","",""
"F2","PD14","I/O","",""
"F3","PC6","I/O","",""
"F4","VCAP_1","Power","",""
"F5","PE14","I/O","",""
"F6","PE10","I/O","",""
"F7","VDD","Power","",""
"F8","PA1","I/O","",""
"F9","PH1-OSC_OUT","I/O","",""
"F10","PH0-OSC_IN","I/O","",""
"G1","PD11","I/O","",""
"G2","PD12","I/O","",""
"G3","PD10","I/O","",""
"G4","PE15","I/O","",""
"G5","PE13","I/O","",""
"G6","PE7","I/O","",""
"G7","PB0","I/O","",""
"G8","PA5","I/O","",""
"G9","VDDA","Power","",""
"G10","NRST","Reset","",""
"H1","PB15","I/O","",""
"H2","PD8","I/O","",""
"H3","PD9","I/O","",""
"H4","PB10","I/O","",""
"H5","PE12","I/O","",""
"H6","PE8","I/O","",""
"H7","PB1","I/O","",""
"H8","PA6","I/O","",""
"H9","PA3","I/O","",""
"H10","VSSA","Power","",""
"J1","PB13","I/O","",""
"J2","PB14","I/O","",""
"J3","PB12","I/O","",""
"J4","PB11","I/O","",""
"J5","PE11","I/O","",""
"J6","PE9","I/O","",""
"J7","PB2","I/O","",""
"J8","PA7","I/O","",""
"J9","PA4","I/O","",""
"J10","PA2","I/O","",""
