"Position","Name","Type","Signal","Label"
"A1","VDD","Power","",""
"A2","PA15","I/O","",""
"A3","PB5","I/O","",""
"A4","PB8","I/O","",""
"A5","VSS","Power","",""
"A6","VDD","Power","",""
"B1","VSS","Power","",""
"B2","PA14","I/O","",""
"B3","PB6","I/O","",""
"B4","PDR_ON","Power","",""
"B5","VBAT","Power","",""
"B6","PC14-OSC32_IN","I/O","",""
"C1","PA13","I/O","",""
"C2","PB3","I/O","",""
"C3","PB7","I/O","",""
"C4","PC13-ANTI_TAMP","I/O","",""
"C5","PH0 - OSC_IN","I/O","",""
"C6","PC15-OSC32_OUT","I/O","",""
"D1","PA8","I/O","",""
"D2","PA12","I/O","",""
"D3","PB4","I/O","",""
"D4","BOOT0","Boot","",""
"D5","NRST","Reset","",""
"D6","PH1 - OSC_OUT","I/O","",""
"E1","PB12","I/O","",""
"E2","VCAP1","Power","",""
"E3","PB10","I/O","",""
"E4","PA2","I/O","",""
"E5","PA0-WKUP","I/O","",""
"E6","VSSA/VREF-","Power","",""
"F1","VDD","Power","",""
"F2","VSS","Power","",""
"F3","PB2","I/O","",""
"F4","PA5","I/O","",""
"F5","PA3","I/O","",""
"F6","VDDA/VREF+","Power","",""
