"Position","Name","Type","Signal","Label"
"A1","NC","NC","",""
"A2","PI6","I/O","",""
"A3","PI5","I/O","",""
"A4","PE1","I/O","",""
"A5","BOOT0","Boot","",""
"A6","PB4","I/O","",""
"A7","PG12","I/O","",""
"A8","PD7","I/O","",""
"A9","PD3","I/O","",""
"A10","PC12","I/O","",""
"A11","PA14","I/O","",""
"A12","PI3","I/O","",""
"A13","NC","NC","",""
"B1","PI7","I/O","",""
"B2","PE2","I/O","",""
"B3","PI4","I/O","",""
"B4","PE0","I/O","",""
"B5","PB7","I/O","",""
"B6","PB3","I/O","",""
"B7","PG11","I/O","",""
"B8","PD6","I/O","",""
"B9","PD2","I/O","",""
"B10","PC11","I/O","",""
"B11","PA15","I/O","",""
"B12","PI2","I/O","",""
"B13","PI0","I/O","",""
"C1","PE3","I/O","",""
"C2","PE4","I/O","",""
"C3","PDR_ON","Reset","",""
"C4","PB9","I/O","",""
"C5","PB6","I/O","",""
"C6","PG15","I/O","",""
"C7","PG10","I/O","",""
"C8","PD5","I/O","",""
"C9","PD1","I/O","",""
"C10","PC10","I/O","",""
"C11","PI1","I/O","",""
"C12","PH15","I/O","",""
"C13","PH14","I/O","",""
"D1","PE5","I/O","",""
"D2","PE6","I/O","",""
"D3","VDD","Power","",""
"D4","PB8","I/O","",""
"D5","PB5","I/O","",""
"D6","VDD","Power","",""
"D7","VSS","Power","",""
"D8","PD4","I/O","",""
"D9","PD0","I/O","",""
"D10","VDD","Power","",""
"D11","VSS","Power","",""
"D12","VCAP_2","Power","",""
"D13","PH13","I/O","",""
"E1","PC14/OSC32_IN","I/O","",""
"E2","PI9","I/O","",""
"E3","PI10","I/O","",""
"E4","PC13","I/O","",""
"E5","VBAT","Power","",""
"E6","VDD","Power","",""
"E7","VSS","Power","",""
"E8","PA9","I/O","",""
"E9","PA10","I/O","",""
"E10","PA11","I/O","",""
"E11","PA12","I/O","",""
"E12","PA13","I/O","",""
"E13","PA8","I/O","",""
"F1","PC15/OSC32_OUT","I/O","",""
"F2","PF0","I/O","",""
"F3","PF1","I/O","",""
"F4","VDD","Power","",""
"F5","VSS","Power","",""
"F6","VSS","Power","",""
"F7","VDD","Power","",""
"F8","VDD","Power","",""
"F9","PC6","I/O","",""
"F10","PC7","I/O","",""
"F11","PC8","I/O","",""
"F12","PC9","I/O","",""
"F13","PG8","I/O","",""
"G1","PH1/OSC_OUT","I/O","",""
"G2","PH0/OSC_IN","I/O","",""
"G3","PF4","I/O","",""
"G4","PF3","I/O","",""
"G5","PF2","I/O","",""
"G6","PC0","I/O","",""
"G7","VSS","Power","",""
"G8","VDD","Power","",""
"G9","VSS","Power","",""
"G10","VDD","Power","",""
"G11","PG6","I/O","",""
"G12","PG7","I/O","",""
"G13","PG5","I/O","",""
"H1","PF10","I/O","",""
"H2","NRST","Reset","",""
"H3","PF5","I/O","",""
"H4","VDD","Power","",""
"H5","PC1","I/O","",""
"H6","PC2","I/O","",""
"H7","PC3","I/O","",""
"H8","VDD","Power","",""
"H9","PE13","I/O","",""
"H10","PD11","I/O","",""
"H11","PD14","I/O","",""
"H12","PG4","I/O","",""
"H13","PG2","I/O","",""
"J1","VSSA","Power","",""
"J2","VREF-","Power","",""
"J3","VREF+","Power","",""
"J4","VDDA","Power","",""
"J5","PA0/WKUP","I/O","",""
"J6","VSS","Power","",""
"J7","VSS","Power","",""
"J8","PE8","I/O","",""
"J9","PE14","I/O","",""
"J10","VSS","Power","",""
"J11","VDD","Power","",""
"J12","PD15","I/O","",""
"J13","PD12","I/O","",""
"K1","PA1","I/O","",""
"K2","PA2","I/O","",""
"K3","PA3","I/O","",""
"K4","PA7","I/O","",""
"K5","PB1","I/O","",""
"K6","VDD","Power","",""
"K7","PF14","I/O","",""
"K8","PE9","I/O","",""
"K9","PE15","I/O","",""
"K10","PH9","I/O","",""
"K11","PD10","I/O","",""
"K12","PD13","I/O","",""
"K13","PD9","I/O","",""
"L1","PH3","I/O","",""
"L2","PH2","I/O","",""
"L3","PH5","I/O","",""
"L4","PC4","I/O","",""
"L5","PB2/BOOT1","I/O","",""
"L6","VDD","Power","",""
"L7","PF15","I/O","",""
"L8","PE10","I/O","",""
"L9","PB10","I/O","",""
"L10","PH8","I/O","",""
"L11","PH12","I/O","",""
"L12","PD8","I/O","",""
"L13","PB15","I/O","",""
"M1","BYPASS_REG","Reset","",""
"M2","PH4","I/O","",""
"M3","PA5","I/O","",""
"M4","PC5","I/O","",""
"M5","PF11","I/O","",""
"M6","PF13","I/O","",""
"M7","PG1","I/O","",""
"M8","PE11","I/O","",""
"M9","PB11","I/O","",""
"M10","PH7","I/O","",""
"M11","PH11","I/O","",""
"M12","PB13","I/O","",""
"M13","PB14","I/O","",""
"N1","NC","NC","",""
"N2","PA4","I/O","",""
"N3","PA6","I/O","",""
"N4","PB0","I/O","",""
"N5","PF12","I/O","",""
"N6","PG0","I/O","",""
"N7","PE7","I/O","",""
"N8","PE12","I/O","",""
"N9","VCAP_1","Power","",""
"N10","PH6","I/O","",""
"N11","PH10","I/O","",""
"N12","PB12","I/O","",""
"N13","NC","NC","",""
