"Position","Name","Type","Signal","Label"
"A1","VDD","Power","",""
"A2","PC10","I/O","",""
"A3","PD2","I/O","",""
"A4","PD5","I/O","",""
"A5","PD7","I/O","",""
"A6","PG12","I/O","",""
"A7","PG15","I/O","",""
"A8","PB6","I/O","",""
"A9","PB8","I/O","",""
"A10","PE1","I/O","",""
"A11","PDR_ON","Reset","",""
"B1","PA14","I/O","",""
"B2","PC11","I/O","",""
"B3","PD0","I/O","",""
"B4","PD3","I/O","",""
"B5","PD4","I/O","",""
"B6","PG11","I/O","",""
"B7","PB3","I/O","",""
"B8","PB7","I/O","",""
"B9","PB9","I/O","",""
"B10","PE0","I/O","",""
"B11","PE4","I/O","",""
"C1","VDD","Power","",""
"C2","PA15","I/O","",""
"C3","PC12","I/O","",""
"C4","PD1","I/O","",""
"C5","VDD","Power","",""
"C6","PG10","I/O","",""
"C7","PB4","I/O","",""
"C8","PB5","I/O","",""
"C9","BOOT0","Boot","",""
"C10","PE3","I/O","",""
"C11","VBAT","Power","",""
"D1","VCAP_2","Power","",""
"D2","VSS","Power","",""
"D3","PA13","I/O","",""
"D4","PA11","I/O","",""
"D5","PA10","I/O","",""
"D6","PG13","I/O","",""
"D7","VDD","Power","",""
"D8","PE2","I/O","",""
"D9","PE5","I/O","",""
"D10","PC13","I/O","",""
"D11","PC14/OSC32_IN","I/O","",""
"E1","PA12","I/O","",""
"E2","PA9","I/O","",""
"E3","PC9","I/O","",""
"E4","PC8","I/O","",""
"E5","PG9","I/O","",""
"E6","VDD","Power","",""
"E7","VSS","Power","",""
"E8","PE6","I/O","",""
"E9","PF1","I/O","",""
"E10","VDD","Power","",""
"E11","PC15/OSC32_OUT","I/O","",""
"F1","PA8","I/O","",""
"F2","PC6","I/O","",""
"F3","PC7","I/O","",""
"F4","PD6","I/O","",""
"F5","VSS","Power","",""
"F6","PG14","I/O","",""
"F7","PF7","I/O","",""
"F8","PF5","I/O","",""
"F9","PF4","I/O","",""
"F10","PF2","I/O","",""
"F11","PF0","I/O","",""
"G1","VDD","Power","",""
"G2","PG8","I/O","",""
"G3","PG3","I/O","",""
"G4","PG6","I/O","",""
"G5","PG4","I/O","",""
"G6","PG5","I/O","",""
"G7","VDD","Power","",""
"G8","PF9","I/O","",""
"G9","PF10","I/O","",""
"G10","PF6","I/O","",""
"G11","PF3","I/O","",""
"H1","PG7","I/O","",""
"H2","VSS","Power","",""
"H3","VSS","Power","",""
"H4","PD10","I/O","",""
"H5","PD13","I/O","",""
"H6","PD12","I/O","",""
"H7","VSS","Power","",""
"H8","PC0","I/O","",""
"H9","NRST","Reset","",""
"H10","PH1/OSC_OUT","I/O","",""
"H11","PF8","I/O","",""
"J1","PG2","I/O","",""
"J2","PD14","I/O","",""
"J3","PB15","I/O","",""
"J4","PE10","I/O","",""
"J5","VDD","Power","",""
"J6","VDD","Power","",""
"J7","VDD","Power","",""
"J8","VDD","Power","",""
"J9","PC3","I/O","",""
"J10","PC2","I/O","",""
"J11","PH0/OSC_IN","I/O","",""
"K1","PD15","I/O","",""
"K2","PD11","I/O","",""
"K3","PB14","I/O","",""
"K4","PE11","I/O","",""
"K5","PG1","I/O","",""
"K6","PF13","I/O","",""
"K7","PB1","I/O","",""
"K8","PA1","I/O","",""
"K9","PA0/WKUP","I/O","",""
"K10","VSSA","Power","",""
"K11","PC1","I/O","",""
"L1","VDD","Power","",""
"L2","PD8","I/O","",""
"L3","PE15","I/O","",""
"L4","PE12","I/O","",""
"L5","PE7","I/O","",""
"L6","PF14","I/O","",""
"L7","PB2/BOOT1","I/O","",""
"L8","PA7","I/O","",""
"L9","PA2","I/O","",""
"L10","VDDA","Power","",""
"L11","VREF+","Power","",""
"M1","PD9","I/O","",""
"M2","PB12","I/O","",""
"M3","PB10","I/O","",""
"M4","PE14","I/O","",""
"M5","PE8","I/O","",""
"M6","PF15","I/O","",""
"M7","PF11","I/O","",""
"M8","PC4","I/O","",""
"M9","PA5","I/O","",""
"M10","PA4","I/O","",""
"M11","PA3","I/O","",""
"N1","PB13","I/O","",""
"N2","VCAP_1","Power","",""
"N3","PB11","I/O","",""
"N4","PE13","I/O","",""
"N5","PE9","I/O","",""
"N6","PG0","I/O","",""
"N7","PF12","I/O","",""
"N8","PB0","I/O","",""
"N9","PC5","I/O","",""
"N10","PA6","I/O","",""
"N11","BYPASS_REG","Reset","",""
