"Position","Name","Type","Signal","Label"
"1","PE2","I/O","",""
"2","PE3","I/O","",""
"3","PE4","I/O","",""
"4","PE5","I/O","",""
"5","PE6","I/O","",""
"6","VBAT","Power","",""
"7","PI8","I/O","",""
"8","PC13","I/O","",""
"9","PC14/OSC32_IN","I/O","",""
"10","PC15/OSC32_OUT","I/O","",""
"11","PI9","I/O","",""
"12","PI10","I/O","",""
"13","PI11","I/O","",""
"14","VSS","Power","",""
"15","VDD","Power","",""
"16","PF0","I/O","",""
"17","PF1","I/O","",""
"18","PF2","I/O","",""
"19","PF3","I/O","",""
"20","PF4","I/O","",""
"21","PF5","I/O","",""
"22","VSS","Power","",""
"23","VDD","Power","",""
"24","PF6","I/O","",""
"25","PF7","I/O","",""
"26","PF8","I/O","",""
"27","PF9","I/O","",""
"28","PF10","I/O","",""
"29","PH0/OSC_IN","I/O","",""
"30","PH1/OSC_OUT","I/O","",""
"31","NRST","Reset","",""
"32","PC0","I/O","",""
"33","PC1","I/O","",""
"34","PC2","I/O","",""
"35","PC3","I/O","",""
"36","VDD","Power","",""
"37","VSSA","Power","",""
"38","VREF+","Power","",""
"39","VDDA","Power","",""
"40","PA0/WKUP","I/O","",""
"41","PA1","I/O","",""
"42","PA2","I/O","",""
"43","PH2","I/O","",""
"44","PH3","I/O","",""
"45","PH4","I/O","",""
"46","PH5","I/O","",""
"47","PA3","I/O","",""
"48","BYPASS_REG","Reset","",""
"49","VDD","Power","",""
"50","PA4","I/O","",""
"51","PA5","I/O","",""
"52","PA6","I/O","",""
"53","PA7","I/O","",""
"54","PC4","I/O","",""
"55","PC5","I/O","",""
"56","PB0","I/O","",""
"57","PB1","I/O","",""
"58","PB2/BOOT1","I/O","",""
"59","PF11","I/O","",""
"60","PF12","I/O","",""
"61","VSS","Power","",""
"62","VDD","Power","",""
"63","PF13","I/O","",""
"64","PF14","I/O","",""
"65","PF15","I/O","",""
"66","PG0","I/O","",""
"67","PG1","I/O","",""
"68","PE7","I/O","",""
"69","PE8","I/O","",""
"70","PE9","I/O","",""
"71","VSS","Power","",""
"72","VDD","Power","",""
"73","PE10","I/O","",""
"74","PE11","I/O","",""
"75","PE12","I/O","",""
"76","PE13","I/O","",""
"77","PE14","I/O","",""
"78","PE15","I/O","",""
"79","PB10","I/O","",""
"80","PB11","I/O","",""
"81","VCAP_1","Power","",""
"82","VDD","Power","",""
"83","PH6","I/O","",""
"84","PH7","I/O","",""
"85","PH8","I/O","",""
"86","PH9","I/O","",""
"87","PH10","I/O","",""
"88","PH11","I/O","",""
"89","PH12","I/O","",""
"90","VSS","Power","",""
"91","VDD","Power","",""
"92","PB12","I/O","",""
"93","PB13","I/O","",""
"94","PB14","I/O","",""
"95","PB15","I/O","",""
"96","PD8","I/O","",""
"97","PD9","I/O","",""
"98","PD10","I/O","",""
"99","PD11","I/O","",""
"100","PD12","I/O","",""
"101","PD13","I/O","",""
"102","VSS","Power","",""
"103","VDD","Power","",""
"104","PD14","I/O","",""
"105","PD15","I/O","",""
"106","PG2","I/O","",""
"107","PG3","I/O","",""
"108","PG4","I/O","",""
"109","PG5","I/O","",""
"110","PG6","I/O","",""
"111","PG7","I/O","",""
"112","PG8","I/O","",""
"113","VSS","Power","",""
"114","VDD","Power","",""
"115","PC6","I/O","",""
"116","PC7","I/O","",""
"117","PC8","I/O","",""
"118","PC9","I/O","",""
"119","PA8","I/O","",""
"120","PA9","I/O","",""
"121","PA10","I/O","",""
"122","PA11","I/O","",""
"123","PA12","I/O","",""
"124","PA13","I/O","",""
"125","VCAP_2","Power","",""
"126","VSS","Power","",""
"127","VDD","Power","",""
"128","PH13","I/O","",""
"129","PH14","I/O","",""
"130","PH15","I/O","",""
"131","PI0","I/O","",""
"132","PI1","I/O","",""
"133","PI2","I/O","",""
"134","PI3","I/O","",""
"135","VSS","Power","",""
"136","VDD","Power","",""
"137","PA14","I/O","",""
"138","PA15","I/O","",""
"139","PC10","I/O","",""
"140","PC11","I/O","",""
"141","PC12","I/O","",""
"142","PD0","I/O","",""
"143","PD1","I/O","",""
"144","PD2","I/O","",""
"145","PD3","I/O","",""
"146","PD4","I/O","",""
"147","PD5","I/O","",""
"148","VSS","Power","",""
"149","VDD","Power","",""
"150","PD6","I/O","",""
"151","PD7","I/O","",""
"152","PG9","I/O","",""
"153","PG10","I/O","",""
"154","PG11","I/O","",""
"155","PG12","I/O","",""
"156","PG13","I/O","",""
"157","PG14","I/O","",""
"158","VSS","Power","",""
"159","VDD","Power","",""
"160","PG15","I/O","",""
"161","PB3","I/O","",""
"162","PB4","I/O","",""
"163","PB5","I/O","",""
"164","PB6","I/O","",""
"165","PB7","I/O","",""
"166","BOOT0","Boot","",""
"167","PB8","I/O","",""
"168","PB9","I/O","",""
"169","PE0","I/O","",""
"170","PE1","I/O","",""
"171","PDR_ON","Reset","",""
"172","VDD","Power","",""
"173","PI4","I/O","",""
"174","PI5","I/O","",""
"175","PI6","I/O","",""
"176","PI7","I/O","",""
