"Position","Name","Type","Signal","Label"
"A1","VDD","Power","",""
"A2","PC12","I/O","",""
"A3","PD4","I/O","",""
"A4","PD7","I/O","",""
"A5","PB3","I/O","",""
"A6","PB5","I/O","",""
"A7","BOOT0","Boot","",""
"A8","VDD","Power","",""
"A9","PE4","I/O","",""
"B1","VSS","Power","",""
"B2","PA15","I/O","",""
"B3","PD0","I/O","",""
"B4","PD6","I/O","",""
"B5","PB4","I/O","",""
"B6","PB7","I/O","",""
"B7","VSS","Power","",""
"B8","PDR_ON","Reset","",""
"B9","VBAT","Power","",""
"C1","PA11","I/O","",""
"C2","VCAP_2","Power","",""
"C3","PA14","I/O","",""
"C4","PD1","I/O","",""
"C5","PB6","I/O","",""
"C6","PB8","I/O","",""
"C7","PB9","I/O","",""
"C8","PC13","I/O","",""
"C9","PC14-OSC32_IN","I/O","",""
"D1","PC9","I/O","",""
"D2","PA13","I/O","",""
"D3","PC10","I/O","",""
"D4","PC11","I/O","",""
"D5","PD2","I/O","",""
"D6","PE3","I/O","",""
"D7","PE2","I/O","",""
"D8","NRST","Reset","",""
"D9","PC15-OSC32_OUT","I/O","",""
"E1","VDDUSB","Power","",""
"E2","PA8","I/O","",""
"E3","PA10","I/O","",""
"E4","PA12","I/O","",""
"E5","PA7","I/O","",""
"E6","PA3","I/O","",""
"E7","PA2","I/O","",""
"E8","PC2","I/O","",""
"E9","PH0-OSC_IN","I/O","",""
"F1","PC6","I/O","",""
"F2","PC7","I/O","",""
"F3","PC8","I/O","",""
"F4","PA9","I/O","",""
"F5","PB0","I/O","",""
"F6","PA5","I/O","",""
"F7","VSSA","Power","",""
"F8","PC3","I/O","",""
"F9","PH1-OSC_OUT","I/O","",""
"G1","PD13","I/O","",""
"G2","PD12","I/O","",""
"G3","PB15","I/O","",""
"G4","PB12","I/O","",""
"G5","PE9","I/O","",""
"G6","PA6","I/O","",""
"G7","PA1","I/O","",""
"G8","VSS","Power","",""
"G9","PC0","I/O","",""
"H1","PD11","I/O","",""
"H2","PB13","I/O","",""
"H3","VSS","Power","",""
"H4","PB10","I/O","",""
"H5","PE8","I/O","",""
"H6","PB1","I/O","",""
"H7","PA4","I/O","",""
"H8","VREF+","Power","",""
"H9","VDD","Power","",""
"J1","PB14","I/O","",""
"J2","VDD","Power","",""
"J3","VCAP_1","Power","",""
"J4","PE10","I/O","",""
"J5","PE7","I/O","",""
"J6","PB2","I/O","",""
"J7","PC4","I/O","",""
"J8","BYPASS_REG","Reset","",""
"J9","PA0-WKUP","I/O","",""
