"Position","Name","Type","Signal","Label"
"A1","PI2","I/O","",""
"A2","PA15","I/O","",""
"A3","PD1","I/O","",""
"A4","VSS","Power","",""
"A5","PD7","I/O","",""
"A6","PG12","I/O","",""
"A7","VDD","Power","",""
"A8","PB3","I/O","",""
"A9","PB7","I/O","",""
"A10","PE0","I/O","",""
"A11","VDD","Power","",""
"A12","PI7","I/O","",""
"B1","PH13","I/O","",""
"B2","PI3","I/O","",""
"B3","PC11","I/O","",""
"B4","PD4","I/O","",""
"B5","VDD","Power","",""
"B6","PG11","I/O","",""
"B7","VSS","Power","",""
"B8","PB5","I/O","",""
"B9","PB8","I/O","",""
"B10","VSS","Power","",""
"B11","PI6","I/O","",""
"B12","PE5","I/O","",""
"C1","VSS","Power","",""
"C2","VDD","Power","",""
"C3","PI1","I/O","",""
"C4","PC12","I/O","",""
"C5","PD2","I/O","",""
"C6","PD5","I/O","",""
"C7","PG10","I/O","",""
"C8","PB4","I/O","",""
"C9","PE1","I/O","",""
"C10","PI5","I/O","",""
"C11","PE4","I/O","",""
"C12","VBAT","Power","",""
"D1","PA13","I/O","",""
"D2","VCAP2","Power","",""
"D3","PH14","I/O","",""
"D4","PA14","I/O","",""
"D5","PC10","I/O","",""
"D6","PD3","I/O","",""
"D7","PG9","I/O","",""
"D8","PG15","I/O","",""
"D9","PDR_ON","Reset","",""
"D10","PI4","I/O","",""
"D11","PE6","I/O","",""
"D12","PC13","I/O","",""
"E1","PA8","I/O","",""
"E2","PA9","I/O","",""
"E3","PA10","I/O","",""
"E4","PH15","I/O","",""
"E5","PI0","I/O","",""
"E6","PD0","I/O","",""
"E7","PD6","I/O","",""
"E8","PG13","I/O","",""
"E9","PB9","I/O","",""
"E10","PE3","I/O","",""
"E11","PC14/OSC32_IN","I/O","",""
"E12","PC15/OSC32_OUT","I/O","",""
"F1","VDDUSB","Power","",""
"F2","VSS","Power","",""
"F3","PC6","I/O","",""
"F4","PC8","I/O","",""
"F5","PC9","I/O","",""
"F6","PA12","I/O","",""
"F7","PA11","I/O","",""
"F8","BOOT0","Boot","",""
"F9","PE2","I/O","",""
"F10","PI10","I/O","",""
"F11","PI11","I/O","",""
"F12","VSS","Power","",""
"G1","PG5","I/O","",""
"G2","PG4","I/O","",""
"G3","PG6","I/O","",""
"G4","PG3","I/O","",""
"G5","PG2","I/O","",""
"G6","PG8","I/O","",""
"G7","PC7","I/O","",""
"G8","PB6","I/O","",""
"G9","PI9","I/O","",""
"G10","PF0","I/O","",""
"G11","VDD","Power","",""
"G12","PF2","I/O","",""
"H1","VSSDSI","Power","",""
"H2","DSIHOST_D1N","MonoIO","",""
"H3","DSIHOST_D1P","MonoIO","",""
"H4","PD13","I/O","",""
"H5","PB12","I/O","",""
"H6","PG7","I/O","",""
"H7","VSS","Power","",""
"H8","PF15","I/O","",""
"H9","NRST","Reset","",""
"H10","PF1","I/O","",""
"H11","PF3","I/O","",""
"H12","PF5","I/O","",""
"J1","DSIHOST_CKP","MonoIO","",""
"J2","DSIHOST_CKN","MonoIO","",""
"J3","DSIHOST_D0N","MonoIO","",""
"J4","PD11","I/O","",""
"J5","PE14","I/O","",""
"J6","PG0","I/O","",""
"J7","PF13","I/O","",""
"J8","PA7","I/O","",""
"J9","PC0","I/O","",""
"J10","PF4","I/O","",""
"J11","VSS","Power","",""
"J12","VDD","Power","",""
"K1","VCAPDSI","Power","",""
"K2","VDD12DSI","Power","",""
"K3","DSIHOST_D0P","MonoIO","",""
"K4","PB13","I/O","",""
"K5","PB11","I/O","",""
"K6","PE9","I/O","",""
"K7","PF11","I/O","",""
"K8","PH5","I/O","",""
"K9","PA1","I/O","",""
"K10","PF10","I/O","",""
"K11","PH0/OSC_IN","I/O","",""
"K12","PH1/OSC_OUT","I/O","",""
"L1","VDDDSI","Power","",""
"L2","PD15","I/O","",""
"L3","PD14","I/O","",""
"L4","PD8","I/O","",""
"L5","PH9","I/O","",""
"L6","PE13","I/O","",""
"L7","PF14","I/O","",""
"L8","PA5","I/O","",""
"L9","PA2","I/O","",""
"L10","PA0/WKUP","I/O","",""
"L11","VSSA","Power","",""
"L12","PC1","I/O","",""
"M1","VSS","Power","",""
"M2","PD12","I/O","",""
"M3","PD10","I/O","",""
"M4","PH10","I/O","",""
"M5","PH8","I/O","",""
"M6","PE12","I/O","",""
"M7","PE8","I/O","",""
"M8","PF12","I/O","",""
"M9","PA4","I/O","",""
"M10","PH4","I/O","",""
"M11","PH2","I/O","",""
"M12","VDDA","Power","",""
"N1","PD9","I/O","",""
"N2","PB15","I/O","",""
"N3","PH11","I/O","",""
"N4","VCAP1","Power","",""
"N5","PB10","I/O","",""
"N6","PE11","I/O","",""
"N7","PE7","I/O","",""
"N8","VSS","Power","",""
"N9","PB1","I/O","",""
"N10","PA3","I/O","",""
"N11","VSS","Power","",""
"N12","PH3","I/O","",""
"P1","PB14","I/O","",""
"P2","PH12","I/O","",""
"P3","VDD","Power","",""
"P4","VSS","Power","",""
"P5","PE15","I/O","",""
"P6","PE10","I/O","",""
"P7","PG1","I/O","",""
"P8","VDD","Power","",""
"P9","PB2/BOOT1","I/O","",""
"P10","PB0","I/O","",""
"P11","PA6","I/O","",""
"P12","VDD","Power","",""
