"Position","Name","Type","Signal","Label"
"1","PE3","I/O","",""
"2","PE4","I/O","",""
"3","PE5","I/O","",""
"4","PE6","I/O","",""
"5","VBAT","Power","",""
"6","PC13","I/O","",""
"7","PC14/OSC32_IN","I/O","",""
"8","PC15/OSC32_OUT","I/O","",""
"9","PF0","I/O","",""
"10","PF1","I/O","",""
"11","PF2","I/O","",""
"12","PF3","I/O","",""
"13","PF4","I/O","",""
"14","PF5","I/O","",""
"15","VSS","Power","",""
"16","VDD","Power","",""
"17","PF10","I/O","",""
"18","PH0/OSC_IN","I/O","",""
"19","PH1/OSC_OUT","I/O","",""
"20","NRST","Reset","",""
"21","PC0","I/O","",""
"22","PC1","I/O","",""
"23","PC2","I/O","",""
"24","PC3","I/O","",""
"25","VDD","Power","",""
"26","VSSA","Power","",""
"27","VREF+","Power","",""
"28","VDDA","Power","",""
"29","PA0/WKUP","I/O","",""
"30","PA1","I/O","",""
"31","PA2","I/O","",""
"32","PA3","I/O","",""
"33","VSS","Power","",""
"34","VDD","Power","",""
"35","PA4","I/O","",""
"36","PA5","I/O","",""
"37","PA6","I/O","",""
"38","PA7","I/O","",""
"39","PC4","I/O","",""
"40","PC5","I/O","",""
"41","PB0","I/O","",""
"42","PB1","I/O","",""
"43","PB2/BOOT1","I/O","",""
"44","PF11","I/O","",""
"45","PF12","I/O","",""
"46","VDD","Power","",""
"47","PF13","I/O","",""
"48","PF14","I/O","",""
"49","PF15","I/O","",""
"50","PG0","I/O","",""
"51","PG1","I/O","",""
"52","PE7","I/O","",""
"53","PE8","I/O","",""
"54","PE9","I/O","",""
"55","VSS","Power","",""
"56","VDD","Power","",""
"57","PE10","I/O","",""
"58","PE11","I/O","",""
"59","PE12","I/O","",""
"60","PE13","I/O","",""
"61","PE14","I/O","",""
"62","PE15","I/O","",""
"63","PB10","I/O","",""
"64","PB11","I/O","",""
"65","VCAP1","Power","",""
"66","VDD","Power","",""
"67","PB12","I/O","",""
"68","PB13","I/O","",""
"69","PB14","I/O","",""
"70","PB15","I/O","",""
"71","PD8","I/O","",""
"72","PD9","I/O","",""
"73","PD10","I/O","",""
"74","PD11","I/O","",""
"75","PD12","I/O","",""
"76","VSS","Power","",""
"77","VDD","Power","",""
"78","PD14","I/O","",""
"79","PD15","I/O","",""
"80","VDDDSI","Power","",""
"81","VCAPDSI","Power","",""
"82","DSIHOST_D0P","MonoIO","",""
"83","DSIHOST_D0N","MonoIO","",""
"84","VSSDSI","Power","",""
"85","DSIHOST_CKP","MonoIO","",""
"86","DSIHOST_CKN","MonoIO","",""
"87","VDD12DSI","Power","",""
"88","DSIHOST_D1P","MonoIO","",""
"89","DSIHOST_D1N","MonoIO","",""
"90","PG2","I/O","",""
"91","PG3","I/O","",""
"92","PG4","I/O","",""
"93","PG5","I/O","",""
"94","PG6","I/O","",""
"95","PG7","I/O","",""
"96","PG8","I/O","",""
"97","VDDUSB","Power","",""
"98","PC6","I/O","",""
"99","PC7","I/O","",""
"100","PC8","I/O","",""
"101","PC9","I/O","",""
"102","PA8","I/O","",""
"103","PA9","I/O","",""
"104","PA10","I/O","",""
"105","PA11","I/O","",""
"106","PA12","I/O","",""
"107","PA13","I/O","",""
"108","VCAP2","Power","",""
"109","VSS","Power","",""
"110","VDD","Power","",""
"111","PA14","I/O","",""
"112","PA15","I/O","",""
"113","PC10","I/O","",""
"114","PC11","I/O","",""
"115","PC12","I/O","",""
"116","PD0","I/O","",""
"117","PD1","I/O","",""
"118","PD2","I/O","",""
"119","PD3","I/O","",""
"120","PD4","I/O","",""
"121","PD5","I/O","",""
"122","VSS","Power","",""
"123","VDD","Power","",""
"124","PD6","I/O","",""
"125","PG9","I/O","",""
"126","PG10","I/O","",""
"127","PG11","I/O","",""
"128","PG12","I/O","",""
"129","VSS","Power","",""
"130","VDD","Power","",""
"131","PG15","I/O","",""
"132","PB3","I/O","",""
"133","PB4","I/O","",""
"134","PB5","I/O","",""
"135","PB6","I/O","",""
"136","PB7","I/O","",""
"137","BOOT0","Boot","",""
"138","PB8","I/O","",""
"139","PB9","I/O","",""
"140","PE0","I/O","",""
"141","PE1","I/O","",""
"142","PDR_ON","Reset","",""
"143","VDD","Power","",""
"144","PE2","I/O","",""
