"Position","Name","Type","Signal","Label"
"A1","PE3","I/O","",""
"A2","PE2","I/O","",""
"A3","PE1","I/O","",""
"A4","PE0","I/O","",""
"A5","PB8","I/O","",""
"A6","PB5","I/O","",""
"A7","PG14","I/O","",""
"A8","PG13","I/O","",""
"A9","PB4","I/O","",""
"A10","PB3","I/O","",""
"A11","PD7","I/O","",""
"A12","PC12","I/O","",""
"A13","PA15","I/O","",""
"A14","PA14","I/O","",""
"A15","PA13","I/O","",""
"B1","PE4","I/O","",""
"B2","PE5","I/O","",""
"B3","PE6","I/O","",""
"B4","PB9","I/O","",""
"B5","PB7","I/O","",""
"B6","PB6","I/O","",""
"B7","PG15","I/O","",""
"B8","PG12","I/O","",""
"B9","PG11","I/O","",""
"B10","PG10","I/O","",""
"B11","PD6","I/O","",""
"B12","PD0","I/O","",""
"B13","PC11","I/O","",""
"B14","PC10","I/O","",""
"B15","PA12","I/O","",""
"C1","VBAT","Power","",""
"C2","PI7","I/O","",""
"C3","PI6","I/O","",""
"C4","PI5","I/O","",""
"C5","VDD","Power","",""
"C6","PDR_ON","Reset","",""
"C7","VDD","Power","",""
"C8","VDDSDMMC","Power","",""
"C9","VDD","Power","",""
"C10","PG9","I/O","",""
"C11","PD5","I/O","",""
"C12","PD1","I/O","",""
"C13","PI3","I/O","",""
"C14","PI2","I/O","",""
"C15","PA11","I/O","",""
"D1","PC13","I/O","",""
"D2","PI8","I/O","",""
"D3","PI9","I/O","",""
"D4","PI4","I/O","",""
"D5","VSS","Power","",""
"D6","BOOT0","Boot","",""
"D7","VSS","Power","",""
"D8","VSS","Power","",""
"D9","VSS","Power","",""
"D10","PD4","I/O","",""
"D11","PD3","I/O","",""
"D12","PD2","I/O","",""
"D13","PH15","I/O","",""
"D14","PI1","I/O","",""
"D15","PA10","I/O","",""
"E1","PC14-OSC32_IN","I/O","",""
"E2","PF0","I/O","",""
"E3","PI10","I/O","",""
"E4","PI11","I/O","",""
"E12","PH13","I/O","",""
"E13","PH14","I/O","",""
"E14","PI0","I/O","",""
"E15","PA9","I/O","",""
"F1","PC15-OSC32_OUT","I/O","",""
"F2","VSS","Power","",""
"F3","VDD","Power","",""
"F4","PH2","I/O","",""
"F6","VSS","Power","",""
"F7","VSS","Power","",""
"F8","VSS","Power","",""
"F9","VSS","Power","",""
"F10","VSS","Power","",""
"F12","VSS","Power","",""
"F13","VCAP_2","Power","",""
"F14","PC9","I/O","",""
"F15","PA8","I/O","",""
"G1","PH0-OSC_IN","I/O","",""
"G2","VSS","Power","",""
"G3","VDD","Power","",""
"G4","PH3","I/O","",""
"G6","VSS","Power","",""
"G7","VSS","Power","",""
"G8","VSS","Power","",""
"G9","VSS","Power","",""
"G10","VSS","Power","",""
"G12","VSS","Power","",""
"G13","VDD","Power","",""
"G14","PC8","I/O","",""
"G15","PC7","I/O","",""
"H1","PH1-OSC_OUT","I/O","",""
"H2","PF2","I/O","",""
"H3","PF1","I/O","",""
"H4","PH4","I/O","",""
"H6","VSS","Power","",""
"H7","VSS","Power","",""
"H8","VSS","Power","",""
"H9","VSS","Power","",""
"H10","VSS","Power","",""
"H12","VSS","Power","",""
"H13","VDDUSB","Power","",""
"H14","PG8","I/O","",""
"H15","PC6","I/O","",""
"J1","NRST","Reset","",""
"J2","PF3","I/O","",""
"J3","PF4","I/O","",""
"J4","PH5","I/O","",""
"J6","VSS","Power","",""
"J7","VSS","Power","",""
"J8","VSS","Power","",""
"J9","VSS","Power","",""
"J10","VSS","Power","",""
"J12","VDD","Power","",""
"J13","VDD","Power","",""
"J14","PG7","I/O","",""
"J15","PG6","I/O","",""
"K1","PF7","I/O","",""
"K2","PF6","I/O","",""
"K3","PF5","I/O","",""
"K4","VDD","Power","",""
"K6","VSS","Power","",""
"K7","VSS","Power","",""
"K8","VSS","Power","",""
"K9","VSS","Power","",""
"K10","VSS","Power","",""
"K12","PH12","I/O","",""
"K13","PG5","I/O","",""
"K14","PG4","I/O","",""
"K15","PG3","I/O","",""
"L1","PF10","I/O","",""
"L2","PF9","I/O","",""
"L3","PF8","I/O","",""
"L4","BYPASS_REG","Reset","",""
"L12","PH11","I/O","",""
"L13","PH10","I/O","",""
"L14","PD15","I/O","",""
"L15","PG2","I/O","",""
"M1","VSSA","Power","",""
"M2","PC0","I/O","",""
"M3","PC1","I/O","",""
"M4","PC2","I/O","",""
"M5","PC3","I/O","",""
"M6","PB2","I/O","",""
"M7","PG1","I/O","",""
"M8","VSS","Power","",""
"M9","VSS","Power","",""
"M10","VCAP_1","Power","",""
"M11","PH6","I/O","",""
"M12","PH8","I/O","",""
"M13","PH9","I/O","",""
"M14","PD14","I/O","",""
"M15","PD13","I/O","",""
"N1","VREF-","Power","",""
"N2","PA1","I/O","",""
"N3","PA0-WKUP","I/O","",""
"N4","PA4","I/O","",""
"N5","PC4","I/O","",""
"N6","PF13","I/O","",""
"N7","PG0","I/O","",""
"N8","VDD","Power","",""
"N9","VDD","Power","",""
"N10","VDD","Power","",""
