"Position","Name","Type","Signal","Label"
"1","PE2","I/O","",""
"2","PE3","I/O","",""
"3","PE4","I/O","",""
"4","PE5","I/O","",""
"5","PE6","I/O","",""
"6","VBAT","Power","",""
"7","PC13","I/O","",""
"8","PC14-OSC32_IN","I/O","",""
"9","PC15-OSC32_OUT","I/O","",""
"10","VSS","Power","",""
"11","VDD","Power","",""
"12","PH0-OSC_IN","I/O","",""
"13","PH1-OSC_OUT","I/O","",""
"14","NRST","Reset","",""
"15","PC0","I/O","",""
"16","PC1","I/O","",""
"17","PC2","I/O","",""
"18","PC3","I/O","",""
"19","VSSA","Power","",""
"20","VREF+","Power","",""
"21","VDDA","Power","",""
"22","PA0-WKUP","I/O","",""
"23","PA1","I/O","",""
"24","PA2","I/O","",""
"25","PA3","I/O","",""
"26","VSS","Power","",""
"27","VDD","Power","",""
"28","PA4","I/O","",""
"29","PA5","I/O","",""
"30","PA6","I/O","",""
"31","PA7","I/O","",""
"32","PC4","I/O","",""
"33","PC5","I/O","",""
"34","PB0","I/O","",""
"35","PB1","I/O","",""
"36","PB2","I/O","",""
"37","PE7","I/O","",""
"38","PE8","I/O","",""
"39","PE9","I/O","",""
"40","PE10","I/O","",""
"41","PE11","I/O","",""
"42","PE12","I/O","",""
"43","PE13","I/O","",""
"44","PE14","I/O","",""
"45","PE15","I/O","",""
"46","PB10","I/O","",""
"47","PB11","I/O","",""
"48","VCAP_1","Power","",""
"49","VSS","Power","",""
"50","VDD","Power","",""
"51","PB12","I/O","",""
"52","PB13","I/O","",""
"53","PB14","I/O","",""
"54","PB15","I/O","",""
"55","PD8","I/O","",""
"56","PD9","I/O","",""
"57","PD10","I/O","",""
"58","PD11","I/O","",""
"59","PD12","I/O","",""
"60","PD13","I/O","",""
"61","PD14","I/O","",""
"62","PD15","I/O","",""
"63","PC6","I/O","",""
"64","PC7","I/O","",""
"65","PC8","I/O","",""
"66","PC9","I/O","",""
"67","PA8","I/O","",""
"68","PA9","I/O","",""
"69","PA10","I/O","",""
"70","PA11","I/O","",""
"71","PA12","I/O","",""
"72","PA13","I/O","",""
"73","VCAP_2","Power","",""
"74","VSS","Power","",""
"75","VDD","Power","",""
"76","PA14","I/O","",""
"77","PA15","I/O","",""
"78","PC10","I/O","",""
"79","PC11","I/O","",""
"80","PC12","I/O","",""
"81","PD0","I/O","",""
"82","PD1","I/O","",""
"83","PD2","I/O","",""
"84","PD3","I/O","",""
"85","PD4","I/O","",""
"86","PD5","I/O","",""
"87","PD6","I/O","",""
"88","PD7","I/O","",""
"89","PB3","I/O","",""
"90","PB4","I/O","",""
"91","PB5","I/O","",""
"92","PB6","I/O","",""
"93","PB7","I/O","",""
"94","BOOT0","Boot","",""
"95","PB8","I/O","",""
"96","PB9","I/O","",""
"97","PE0","I/O","",""
"98","PE1","I/O","",""
"99","VSS","Power","",""
"100","VDD","Power","",""
