"Position","Name","Type","Signal","Label"
"1","PE2","I/O","",""
"2","PE3","I/O","",""
"3","PE4","I/O","",""
"4","PE5","I/O","",""
"5","PE6","I/O","",""
"6","VBAT","Power","",""
"7","PI8","I/O","",""
"8","PC13","I/O","",""
"9","PC14/OSC32_IN","I/O","",""
"10","PC15/OSC32_OUT","I/O","",""
"11","PI9","I/O","",""
"12","PI10","I/O","",""
"13","PI11","I/O","",""
"14","VSS","Power","",""
"15","VDD","Power","",""
"16","PF0","I/O","",""
"17","PF1","I/O","",""
"18","PF2","I/O","",""
"19","PI12","I/O","",""
"20","PI13","I/O","",""
"21","PI14","I/O","",""
"22","PF3","I/O","",""
"23","PF4","I/O","",""
"24","PF5","I/O","",""
"25","VSS","Power","",""
"26","VDD","Power","",""
"27","PF6","I/O","",""
"28","PF7","I/O","",""
"29","PF8","I/O","",""
"30","PF9","I/O","",""
"31","PF10","I/O","",""
"32","PH0/OSC_IN","I/O","",""
"33","PH1/OSC_OUT","I/O","",""
"34","NRST","Reset","",""
"35","PC0","I/O","",""
"36","PC1","I/O","",""
"37","PC2","I/O","",""
"38","PC3","I/O","",""
"39","VDD","Power","",""
"40","VSSA","Power","",""
"41","VREF+","Power","",""
"42","VDDA","Power","",""
"43","PA0/WKUP","I/O","",""
"44","PA1","I/O","",""
"45","PA2","I/O","",""
"46","PH2","I/O","",""
"47","PH3","I/O","",""
"48","PH4","I/O","",""
"49","PH5","I/O","",""
"50","PA3","I/O","",""
"51","VSS","Power","",""
"52","VDD","Power","",""
"53","PA4","I/O","",""
"54","PA5","I/O","",""
"55","PA6","I/O","",""
"56","PA7","I/O","",""
"57","PC4","I/O","",""
"58","PC5","I/O","",""
"59","VDD","Power","",""
"60","VSS","Power","",""
"61","PB0","I/O","",""
"62","PB1","I/O","",""
"63","PB2","I/O","",""
"64","PI15","I/O","",""
"65","PJ0","I/O","",""
"66","PJ1","I/O","",""
"67","PJ2","I/O","",""
"68","PJ3","I/O","",""
"69","PJ4","I/O","",""
"70","PF11","I/O","",""
"71","PF12","I/O","",""
"72","VSS","Power","",""
"73","VDD","Power","",""
"74","PF13","I/O","",""
"75","PF14","I/O","",""
"76","PF15","I/O","",""
"77","PG0","I/O","",""
"78","PG1","I/O","",""
"79","PE7","I/O","",""
"80","PE8","I/O","",""
"81","PE9","I/O","",""
"82","VSS","Power","",""
"83","VDD","Power","",""
"84","PE10","I/O","",""
"85","PE11","I/O","",""
"86","PE12","I/O","",""
"87","PE13","I/O","",""
"88","PE14","I/O","",""
"89","PE15","I/O","",""
"90","PB10","I/O","",""
"91","PB11","I/O","",""
"92","VCAP_1","Power","",""
"93","VSS","Power","",""
"94","VDD","Power","",""
"95","PJ5","I/O","",""
"96","PH6","I/O","",""
"97","PH7","I/O","",""
"98","PH8","I/O","",""
"99","PH9","I/O","",""
"100","PH10","I/O","",""
"101","PH11","I/O","",""
"102","PH12","I/O","",""
"103","VDD","Power","",""
