"Position","Name","Type","Signal","Label"
"A1","PE4","I/O","",""
"A2","PE3","I/O","",""
"A3","PE2","I/O","",""
"A4","PG14","I/O","",""
"A5","PE1","I/O","",""
"A6","PE0","I/O","",""
"A7","PB8","I/O","",""
"A8","PB5","I/O","",""
"A9","PB4","I/O","",""
"A10","PB3","I/O","",""
"A11","PD7","I/O","",""
"A12","PC12","I/O","",""
"A13","PA15","I/O","",""
"A14","PA14","I/O","",""
"A15","PA13","I/O","",""
"B1","PE5","I/O","",""
"B2","PE6","I/O","",""
"B3","PG13","I/O","",""
"B4","PB9","I/O","",""
"B5","PB7","I/O","",""
"B6","PB6","I/O","",""
"B7","PG15","I/O","",""
"B8","PG11","I/O","",""
"B9","PJ13","I/O","",""
"B10","PJ12","I/O","",""
"B11","PD6","I/O","",""
"B12","PD0","I/O","",""
"B13","PC11","I/O","",""
"B14","PC10","I/O","",""
"B15","PA12","I/O","",""
"C1","VBAT","Power","",""
"C2","PI8","I/O","",""
"C3","PI4","I/O","",""
"C4","PK7","I/O","",""
"C5","PK6","I/O","",""
"C6","PK5","I/O","",""
"C7","PG12","I/O","",""
"C8","PG10","I/O","",""
"C9","PJ14","I/O","",""
"C10","PD5","I/O","",""
"C11","PD3","I/O","",""
"C12","PD1","I/O","",""
"C13","PI3","I/O","",""
"C14","PI2","I/O","",""
"C15","PA11","I/O","",""
"D1","PC13","I/O","",""
"D2","PF0","I/O","",""
"D3","PI5","I/O","",""
"D4","PI7","I/O","",""
"D5","PI10","I/O","",""
"D6","PI6","I/O","",""
"D7","PK4","I/O","",""
"D8","PK3","I/O","",""
"D9","PG9","I/O","",""
"D10","PJ15","I/O","",""
"D11","PD4","I/O","",""
"D12","PD2","I/O","",""
"D13","PH15","I/O","",""
"D14","PI1","I/O","",""
"D15","PA10","I/O","",""
"E1","PC14/OSC32_IN","I/O","",""
"E2","PF1","I/O","",""
"E3","PI12","I/O","",""
"E4","PI9","I/O","",""
"E5","PDR_ON","Reset","",""
"E6","BOOT0","Boot","",""
"E7","VDD","Power","",""
"E8","VDD","Power","",""
"E9","VDDSDMMC","Power","",""
"E10","VDD","Power","",""
"E11","VCAP_2","Power","",""
"E12","PH13","I/O","",""
"E13","PH14","I/O","",""
"E14","PI0","I/O","",""
"E15","PA9","I/O","",""
"F1","PC15/OSC32_OUT","I/O","",""
"F2","VSS","Power","",""
"F3","PI11","I/O","",""
"F4","VDD","Power","",""
"F5","VDD","Power","",""
"F6","VSS","Power","",""
"F7","VSS","Power","",""
"F8","VSS","Power","",""
"F9","VSS","Power","",""
"F10","VSS","Power","",""
"F11","VDD","Power","",""
"F12","PK1","I/O","",""
"F13","PK2","I/O","",""
"F14","PC9","I/O","",""
"F15","PA8","I/O","",""
"G1","PH0/OSC_IN","I/O","",""
"G2","PF2","I/O","",""
"G3","PI13","I/O","",""
"G4","PI15","I/O","",""
"G5","VDD","Power","",""
"G6","VSS","Power","",""
"G10","VSS","Power","",""
"G11","VDDUSB","Power","",""
"G12","PJ11","I/O","",""
"G13","PK0","I/O","",""
"G14","PC8","I/O","",""
"G15","PC7","I/O","",""
"H1","PH1/OSC_OUT","I/O","",""
"H2","PF3","I/O","",""
"H3","PI14","I/O","",""
"H4","PH4","I/O","",""
"H5","VDD","Power","",""
"H6","VSS","Power","",""
"H10","VSS","Power","",""
"H11","VDD","Power","",""
"H12","PJ8","I/O","",""
"H13","PJ10","I/O","",""
"H14","PG8","I/O","",""
"H15","PC6","I/O","",""
"J1","NRST","Reset","",""
"J2","PF4","I/O","",""
"J3","PH5","I/O","",""
"J4","PH3","I/O","",""
"J5","VDD","Power","",""
"J6","VSS","Power","",""
"J10","VSS","Power","",""
"J11","VDD","Power","",""
"J12","PJ7","I/O","",""
"J13","PJ9","I/O","",""
"J14","PG7","I/O","",""
"J15","PG6","I/O","",""
"K1","PF7","I/O","",""
"K2","PF6","I/O","",""
"K3","PF5","I/O","",""
"K4","PH2","I/O","",""
"K5","VDD","Power","",""
"K6","VSS","Power","",""
"K7","VSS","Power","",""
"K8","VSS","Power","",""
"K9","VSS","Power","",""
"K10","VSS","Power","",""
"K11","VDD","Power","",""
"K12","PJ6","I/O","",""
"K13","PD15","I/O","",""
"K14","PB13","I/O","",""
"K15","PD10","I/O","",""
"L1","PF10","I/O","",""
"L2","PF9","I/O","",""
"L3","PF8","I/O","",""
"L4","PC3","I/O","",""
"L5","BYPASS_REG","Reset","",""
"L6","VSS","Power","",""
"L7","VDD","Power","",""
"L8","VDD","Power","",""
"L9","VDD","Power","",""
"L10","VDD","Power","",""
"L11","VCAP_1","Power","",""
"L12","PD14","I/O","",""
"L13","PB12","I/O","",""
"L14","PD9","I/O","",""
"L15","PD8","I/O","",""
"M1","VSSA","Power","",""
"M2","PC0","I/O","",""
"M3","PC1","I/O","",""
"M4","PC2","I/O","",""
"M5","PB2","I/O","",""
"M6","PF12","I/O","",""
"M7","PG1","I/O","",""
"M8","PF15","I/O","",""
"M9","PJ4","I/O","",""
"M10","PD12","I/O","",""
"M11","PD13","I/O","",""
"M12","PG3","I/O","",""
"M13","PG2","I/O","",""
"M14","PJ5","I/O","",""
"M15","PH12","I/O","",""
"N1","VREF-","Power","",""
"N2","PA1","I/O","",""
"N3","PA0/WKUP","I/O","",""
"N4","PA4","I/O","",""
"N5","PC4","I/O","",""
"N6","PF13","I/O","",""
"N7","PG0","I/O","",""
"N8","PJ3","I/O","",""
"N9","PE8","I/O","",""
"N10","PD11","I/O","",""
"N11","PG5","I/O","",""
"N12","PG4","I/O","",""
"N13","PH7","I/O","",""
"N14","PH9","I/O","",""
"N15","PH11","I/O","",""
"P1","VREF+","Power","",""
"P2","PA2","I/O","",""
"P3","PA6","I/O","",""
"P4","PA5","I/O","",""
"P5","PC5","I/O","",""
"P6","PF14","I/O","",""
"P7","PJ2","I/O","",""
"P8","PF11","I/O","",""
"P9","PE9","I/O","",""
"P10","PE11","I/O","",""
"P11","PE14","I/O","",""
"P12","PB10","I/O","",""
"P13","PH6","I/O","",""
"P14","PH8","I/O","",""
"P15","PH10","I/O","",""
"R1","VDDA","Power","",""
"R2","PA3","I/O","",""
"R3","PA7","I/O","",""
"R4","PB1","I/O","",""
"R5","PB0","I/O","",""
"R6","PJ0","I/O","",""
"R7","PJ1","I/O","",""
"R8","PE7","I/O","",""
"R9","PE10","I/O","",""
"R10","PE12","I/O","",""
"R11","PE15","I/O","",""
"R12","PE13","I/O","",""
"R13","PB11","I/O","",""
"R14","PB14","I/O","",""
"R15","PB15","I/O","",""
