"Position","Name","Type","Signal","Label"
"A1","NC","NC","",""
"A2","NC","NC","",""
"A3","PA14","I/O","",""
"A4","PD0","I/O","",""
"A5","PD4","I/O","",""
"A6","VDDSDMMC","Power","",""
"A7","PG10","I/O","",""
"A8","VSS","Power","",""
"A9","PB5","I/O","",""
"A10","BOOT0","Boot","",""
"A11","VSS","Power","",""
"A12","NC","NC","",""
"A13","NC","NC","",""
"B1","NC","NC","",""
"B2","VDD","Power","",""
"B3","PI1","I/O","",""
"B4","PC10","I/O","",""
"B5","PD3","I/O","",""
"B6","VSS","Power","",""
"B7","PG11","I/O","",""
"B8","VDD","Power","",""
"B9","PB6","I/O","",""
"B10","PE1","I/O","",""
"B11","VDD","Power","",""
"B12","PI7","I/O","",""
"B13","NC","NC","",""
"C1","VCAP_2","Power","",""
"C2","VSS","Power","",""
"C3","PI2","I/O","",""
"C4","PC11","I/O","",""
"C5","PD5","I/O","",""
"C6","PG9","I/O","",""
"C7","PG13","I/O","",""
"C8","PB7","I/O","",""
"C9","PE0","I/O","",""
"C10","PDR_ON","Reset","",""
"C11","PI6","I/O","",""
"C12","PE4","I/O","",""
"C13","VBAT","Power","",""
"D1","PA12","I/O","",""
"D2","PA13","I/O","",""
"D3","PI3","I/O","",""
"D4","PC12","I/O","",""
"D5","PD1","I/O","",""
"D6","PD2","I/O","",""
"D7","PG12","I/O","",""
"D8","PB4","I/O","",""
"D9","PB9","I/O","",""
"D10","PI4","I/O","",""
"D11","PI5","I/O","",""
"D12","PE5","I/O","",""
"D13","PC13","I/O","",""
"E1","PC9","I/O","",""
"E2","PA8","I/O","",""
"E3","PA11","I/O","",""
"E4","PI0","I/O","",""
"E5","PH15","I/O","",""
"E6","PD6","I/O","",""
"E7","PD7","I/O","",""
"E8","PB3","I/O","",""
"E9","PB8","I/O","",""
"E10","PE2","I/O","",""
"E11","PE6","I/O","",""
"E12","PC14/OSC32_IN","I/O","",""
"E13","PC15/OSC32_OUT","I/O","",""
"F1","VSS","Power","",""
"F2","VDDUSB","Power","",""
"F3","PC7","I/O","",""
"F4","PA9","I/O","",""
"F5","PA10","I/O","",""
"F6","PH13","I/O","",""
"F7","PH14","I/O","",""
"F8","PA15","I/O","",""
"F9","PG15","I/O","",""
"F10","PE3","I/O","",""
"F11","PI11","I/O","",""
"F12","VDD","Power","",""
"F13","VSS","Power","",""
"G1","PG4","I/O","",""
"G2","PG5","I/O","",""
"G3","PG6","I/O","",""
"G4","PG7","I/O","",""
"G5","PG8","I/O","",""
"G6","PC6","I/O","",""
"G8","PC8","I/O","",""
"G9","PG3","I/O","",""
"G10","PI9","I/O","",""
"G11","PF0","I/O","",""
"G12","PF1","I/O","",""
"G13","PF2","I/O","",""
"H1","DSIHOST_D1P","MonoIO","",""
"H2","DSIHOST_D1N","MonoIO","",""
"H3","DSIHOST_CKN","MonoIO","",""
"H4","DSIHOST_CKP","MonoIO","",""
"H5","VSSDSI","Power","",""
"H6","VCAPDSI","Power","",""
"H8","PB12","I/O","",""
"H9","PG2","I/O","",""
"H10","PI10","I/O","",""
"H11","PF3","I/O","",""
"H12","PF4","I/O","",""
"H13","PF5","I/O","",""
"J1","DSIHOST_D0P","MonoIO","",""
"J2","DSIHOST_D0N","MonoIO","",""
"J3","VDD12DSI","Power","",""
"J4","PD12","I/O","",""
"J5","PB13","I/O","",""
"J6","PE10","I/O","",""
"J7","PB2","I/O","",""
"J8","PB1","I/O","",""
"J9","VSS","Power","",""
"J10","PA2","I/O","",""
"J11","PA1","I/O","",""
"J12","VDD","Power","",""
"J13","VSS","Power","",""
"K1","VDDDSI","Power","",""
"K2","PD15","I/O","",""
"K3","PD11","I/O","",""
"K4","PH9","I/O","",""
"K5","PB10","I/O","",""
"K6","PE11","I/O","",""
"K7","PF12","I/O","",""
"K8","PF14","I/O","",""
"K9","VDD","Power","",""
"K10","PH3","I/O","",""
"K11","PF10","I/O","",""
"K12","PH0/OSC_IN","I/O","",""
"K13","PH1/OSC_OUT","I/O","",""
"L1","PD14","I/O","",""
"L2","PD13","I/O","",""
"L3","PD9","I/O","",""
"L4","PH10","I/O","",""
"L5","PB11","I/O","",""
"L6","PE12","I/O","",""
"L7","PG1","I/O","",""
"L8","PF13","I/O","",""
"L9","PA4","I/O","",""
"L10","PH2","I/O","",""
"L11","NRST","Reset","",""
"L12","PC0","I/O","",""
"L13","PC1","I/O","",""
"M1","VSS","Power","",""
"M2","PD10","I/O","",""
"M3","PD8","I/O","",""
"M4","PH11","I/O","",""
"M5","PH8","I/O","",""
"M6","PE15","I/O","",""
"M7","PE7","I/O","",""
"M8","VDD","Power","",""
"M9","PA7","I/O","",""
"M10","PA3","I/O","",""
"M11","VSSA","Power","",""
"M12","VDDA","Power","",""
"M13","PA0/WKUP","I/O","",""
"N1","NC","NC","",""
"N2","PB15","I/O","",""
"N3","PB14","I/O","",""
"N4","VSS","Power","",""
"N5","VSS","Power","",""
"N6","PE14","I/O","",""
"N7","PE8","I/O","",""
"N8","PG0","I/O","",""
"N9","PF11","I/O","",""
"N10","PA6","I/O","",""
"N11","PH5","I/O","",""
"N12","PH4","I/O","",""
"N13","NC","NC","",""
"P1","NC","NC","",""
"P2","NC","NC","",""
"P3","PH12","I/O","",""
"P4","VDD","Power","",""
"P5","VCAP_1","Power","",""
"P6","PE13","I/O","",""
"P7","PE9","I/O","",""
"P8","PF15","I/O","",""
"P9","VSS","Power","",""
"P10","PB0","I/O","",""
"P11","PA5","I/O","",""
"P12","NC","NC","",""
"P13","NC","NC","",""
