"Position","Name","Type","Signal","Label"
"1","PC13","I/O","",""
"2","PC14-OSC32_IN (PC14)","I/O","",""
"3","PC15-OSC32_OUT (PC15)","I/O","",""
"4","VBAT","Power","",""
"5","VREF+","MonoIO","",""
"6","VDD/VDDA","MonoIO","",""
"7","VSS/VSSA","MonoIO","",""
"8","PF0-OSC_IN (PF0)","I/O","",""
"9","PF1-OSC_OUT (PF1)","I/O","",""
"10","NRST","MonoIO","",""
"11","PA0","I/O","",""
"12","PA1","I/O","",""
"13","PA2","I/O","",""
"14","PA3","I/O","",""
"15","PA4","I/O","",""
"16","PA5","I/O","",""
"17","PA6","I/O","",""
"18","PA7","I/O","",""
"19","PB0","I/O","",""
"20","PB1","I/O","",""
"21","PB2","I/O","",""
"22","PB10","I/O","",""
"23","PB11","I/O","",""
"24","PB12","I/O","",""
"25","PB13","I/O","",""
"26","PB14","I/O","",""
"27","PB15","I/O","",""
"28","PA8","I/O","",""
"29","PA9","I/O","",""
"30","PC6","I/O","",""
"31","PC7","I/O","",""
"32","PA10","I/O","",""
"33","PA11 [PA9]","I/O","",""
"34","PA12 [PA10]","I/O","",""
"35","PA13","I/O","",""
"36","PA14-BOOT0","I/O","",""
"37","PA15","I/O","",""
"38","PD0","I/O","",""
"39","PD1","I/O","",""
"40","PD2","I/O","",""
"41","PD3","I/O","",""
"42","PB3","I/O","",""
"43","PB4","I/O","",""
"44","PB5","I/O","",""
"45","PB6","I/O","",""
"46","PB7","I/O","",""
"47","PB8","I/O","",""
"48","PB9","I/O","",""
