"Position","Name","Type","Signal","Label"
"1","PB7","I/O","",""
"1","PB8","I/O","",""
"2","PC14-OSC32_IN (PC14)","I/O","",""
"2","PB9","I/O","",""
"3","PC15-OSC32_OUT (PC15)","I/O","",""
"4","VBAT","Power","",""
"5","VSS/VSSA","MonoIO","",""
"6","NRST","MonoIO","",""
"7","PA0","I/O","",""
"8","PA1","I/O","",""
"9","PA2","I/O","",""
"10","PA3","I/O","",""
"11","PA4","I/O","",""
"12","PA5","I/O","",""
"13","PA6","I/O","",""
"14","PA7","I/O","",""
"15","PB0","I/O","",""
"15","PB1","I/O","",""
"15","PB2","I/O","",""
"15","PA8","I/O","",""
"16","PA11 [PA9]","I/O","",""
"17","PA12 [PA10]","I/O","",""
"18","PA13","I/O","",""
"19","PA14-BOOT0","I/O","",""
"19","PA15","I/O","",""
"20","PB3","I/O","",""
"20","PB4","I/O","",""
"20","PB5","I/O","",""
"20","PB6","I/O","",""
