"Position","Name","Type","Signal","Label"
"1","PC14-OSC32_IN (PC14)","I/O","",""
"1","PB7","I/O","",""
"1","PB8","I/O","",""
"1","PB9","I/O","",""
"2","VBAT","Power","",""
"3","VSS/VSSA","MonoIO","",""
"4","NRST","MonoIO","",""
"4","PA0","I/O","",""
"4","PA1","I/O","",""
"4","PA2","I/O","",""
"5","PB0","I/O","",""
"5","PB1","I/O","",""
"5","PA8","I/O","",""
"5","PA11 [PA9]","I/O","",""
"6","PA12 [PA10]","I/O","",""
"7","PA13","I/O","",""
"8","PA14-BOOT0","I/O","",""
"8","PA15","I/O","",""
"8","PB5","I/O","",""
"8","PB6","I/O","",""
