"Position","Name","Type","Signal","Label"
"1","PC14-OSC32_IN (PC14)","I/O","",""
"2","PC15-OSC32_OUT (PC15)","I/O","",""
"3","VBAT","Power","",""
"4","VSS/VSSA","MonoIO","",""
"5","NRST","MonoIO","",""
"6","PA0","I/O","",""
"7","PA1","I/O","",""
"8","PA2","I/O","",""
"9","PA3","I/O","",""
"10","PA4","I/O","",""
"11","PA5","I/O","",""
"12","PA6","I/O","",""
"13","PA7","I/O","",""
"14","PB0","I/O","",""
"15","PB1","I/O","",""
"16","PA8","I/O","",""
"17","PC6","I/O","",""
"18","PA11 [PA9]","I/O","",""
"19","PA12 [PA10]","I/O","",""
"20","PA13","I/O","",""
"21","PA14-BOOT0","I/O","",""
"22","PA15","I/O","",""
"23","PB3","I/O","",""
"24","PB4","I/O","",""
"25","PB5","I/O","",""
"26","PB6","I/O","",""
"27","PB7","I/O","",""
"28","PB8","I/O","",""
