"Position","Name","Type","Signal","Label"
"A1","PC11","I/O","",""
"A2","PC10","I/O","",""
"A3","PB7","I/O","",""
"A4","PB6","I/O","",""
"A5","PD6","I/O","",""
"A6","PD2","I/O","",""
"A7","PD0","I/O","",""
"A8","PC8","I/O","",""
"B1","PC15-OSC32_OUT (PC15)","I/O","",""
"B2","PC12","I/O","",""
"B3","PB8","I/O","",""
"B4","PB3","I/O","",""
"B5","PD5","I/O","",""
"B6","PD1","I/O","",""
"B7","PC9","I/O","",""
"B8","PA12 [PA10]","I/O","",""
"C1","PC14-OSC32_IN (PC14)","I/O","",""
"C2","PC13","I/O","",""
"C3","PB9","I/O","",""
"C4","PB4","I/O","",""
"C5","PD4","I/O","",""
"C6","PA15","I/O","",""
"C7","PA14-BOOT0","I/O","",""
"C8","PA11 [PA9]","I/O","",""
"D1","VDD","Power","",""
"D2","VREF+","MonoIO","",""
"D3","VBAT","Power","",""
"D4","PB5","I/O","",""
"D5","PD3","I/O","",""
"D6","PA10","I/O","",""
"D7","PA13","I/O","",""
"D8","PD9","I/O","",""
"E1","VSS","Power","",""
"E2","PF2 - NRST","I/O","",""
"E3","PC0","I/O","",""
"E4","PA7","I/O","",""
"E5","PC7","I/O","",""
"E6","PA9","I/O","",""
"E7","PC6","I/O","",""
"E8","PD8","I/O","",""
"F1","PF0-OSC_IN (PF0)","I/O","",""
"F2","PC1","I/O","",""
"F3","PA3","I/O","",""
"F4","PA6","I/O","",""
"F5","PB0","I/O","",""
"F6","PB14","I/O","",""
"F7","PB15","I/O","",""
"F8","PA8","I/O","",""
"G1","PF1-OSC_OUT (PF1)","I/O","",""
"G2","PC2","I/O","",""
"G3","PA2","I/O","",""
"G4","PA5","I/O","",""
"G5","PB1","I/O","",""
"G6","PB10","I/O","",""
"G7","PB12","I/O","",""
"G8","PB13","I/O","",""
"H1","PC3","I/O","",""
"H2","PA0","I/O","",""
"H3","PA1","I/O","",""
"H4","PA4","I/O","",""
"H5","PC4","I/O","",""
"H6","PC5","I/O","",""
"H7","PB2","I/O","",""
"H8","PB11","I/O","",""
