"Position","Name","Type","Signal","Label"
"1","VDD","Power","",""
"2","PF0-OSC_IN","I/O","",""
"3","PF1-OSC_OUT","I/O","",""
"4","PG10-NRST","I/O","",""
"5","PA0","I/O","",""
"6","PA1","I/O","",""
"7","PA2","I/O","",""
"8","PA3","I/O","",""
"9","PA4","I/O","",""
"10","PA5","I/O","",""
"11","PA6","I/O","",""
"12","PA7","I/O","",""
"13","PB0","I/O","",""
"14","VSSA","Power","",""
"15","VDDA","Power","",""
"16","VSS","Power","",""
"17","VDD","Power","",""
"18","PA8","I/O","",""
"19","PA9","I/O","",""
"20","PA10","I/O","",""
"21","PA11","I/O","",""
"22","PA12","I/O","",""
"23","PA13","I/O","",""
"24","PA14","I/O","",""
"25","PA15","I/O","",""
"26","PB3","I/O","",""
"27","PB4","I/O","",""
"28","PB5","I/O","",""
"29","PB6","I/O","",""
"30","PB7","I/O","",""
"31","PB8-BOOT0","I/O","",""
"32","VSS","Power","",""
