"Position","Name","Type","Signal","Label"
"A1","PE4","I/O","",""
"A2","PB9","I/O","",""
"A3","PB8-BOOT0","I/O","",""
"A4","PB6","I/O","",""
"A5","PB3","I/O","",""
"A6","PD6","I/O","",""
"A7","PD5","I/O","",""
"A8","PD4","I/O","",""
"A9","PD1","I/O","",""
"A10","PC12","I/O","",""
"B1","PE5","I/O","",""
"B2","PE3","I/O","",""
"B3","PE1","I/O","",""
"B4","PB7","I/O","",""
"B5","PB5","I/O","",""
"B6","PD7","I/O","",""
"B7","PD2","I/O","",""
"B8","PD0","I/O","",""
"B9","PA15","I/O","",""
"B10","PA14","I/O","",""
"C1","PC14-OSC32_IN","I/O","",""
"C2","PE6","I/O","",""
"C3","PE2","I/O","",""
"C4","PE0","I/O","",""
"C5","PB4","I/O","",""
"C6","PD3","I/O","",""
"C7","PC11","I/O","",""
"C8","PC10","I/O","",""
"C9","PA12","I/O","",""
"C10","PA11","I/O","",""
"D1","PC15-OSC32_OUT","I/O","",""
"D2","VSS","Power","",""
"D3","VBAT","Power","",""
"D4","PC13","I/O","",""
"D5","VDD","Power","",""
"D6","VSS","Power","",""
"D7","VDD","Power","",""
"D8","PA13","I/O","",""
"D9","PA10","I/O","",""
"D10","PA9","I/O","",""
"E1","PF0-OSC_IN","I/O","",""
"E2","PF1-OSC_OUT","I/O","",""
"E3","PF9","I/O","",""
"E4","PF10","I/O","",""
"E5","VSS","Power","",""
"E6","VSS","Power","",""
"E7","VSS","Power","",""
"E8","PC8","I/O","",""
"E9","PC9","I/O","",""
"E10","PA8","I/O","",""
"F1","PC2","I/O","",""
"F2","PC0","I/O","",""
"F3","PG10-NRST","I/O","",""
"F4","PC1","I/O","",""
"F5","VDD","Power","",""
"F6","VSS","Power","",""
"F7","VDD","Power","",""
"F8","PD14","I/O","",""
"F9","PC6","I/O","",""
"F10","PC7","I/O","",""
"G1","PC3","I/O","",""
"G2","PA1","I/O","",""
"G3","PF2","I/O","",""
"G4","PA0","I/O","",""
"G5","PE7","I/O","",""
"G6","PE12","I/O","",""
"G7","PD10","I/O","",""
"G8","PD9","I/O","",""
"G9","PD13","I/O","",""
"G10","PD15","I/O","",""
"H1","PA2","I/O","",""
"H2","PA4","I/O","",""
"H3","PA3","I/O","",""
"H4","PB0","I/O","",""
"H5","PE8","I/O","",""
"H6","PE9","I/O","",""
"H7","PE15","I/O","",""
"H8","PB11","I/O","",""
"H9","PB14","I/O","",""
"H10","PD11","I/O","",""
"J1","PA5","I/O","",""
"J2","PA6","I/O","",""
"J3","PC5","I/O","",""
"J4","PB2","I/O","",""
"J5","VDDA","Power","",""
"J6","PE11","I/O","",""
"J7","PE14","I/O","",""
"J8","PB10","I/O","",""
"J9","PB13","I/O","",""
"J10","PD12","I/O","",""
"K1","PA7","I/O","",""
"K2","PC4","I/O","",""
"K3","PB1","I/O","",""
"K4","VSSA","Power","",""
"K5","VREF+","MonoIO","",""
"K6","PE10","I/O","",""
"K7","PE13","I/O","",""
"K8","PB12","I/O","",""
"K9","PB15","I/O","",""
"K10","PD8","I/O","",""
