"Position","Name","Type","Signal","Label"
"A1","PC14-OSC32_IN (OSC32_IN)","I/O","",""
"A2","PC13","I/O","",""
"A3","PE2","I/O","",""
"A4","PB9","I/O","",""
"A5","PB7","I/O","",""
"A6","PB4 (NJTRST)","I/O","",""
"A7","PB3 (JTDO/TRACESWO)","I/O","",""
"A8","PA15 (JTDI)","I/O","",""
"A9","PA14 (JTCK/SWCLK)","I/O","",""
"A10","PA13 (JTMS/SWDIO)","I/O","",""
"B1","PC15-OSC32_OUT (OSC32_OUT)","I/O","",""
"B2","VBAT","Power","",""
"B3","PE3","I/O","",""
"B4","PB8","I/O","",""
"B5","PB6","I/O","",""
"B6","PD5","I/O","",""
"B7","PD2","I/O","",""
"B8","PC11","I/O","",""
"B9","PC10","I/O","",""
"B10","PA12","I/O","",""
"C1","PH0-OSC_IN (PH0)","I/O","",""
"C2","VSS","Power","",""
"C3","PE4","I/O","",""
"C4","PE1","I/O","",""
"C5","PB5","I/O","",""
"C6","PD6","I/O","",""
"C7","PD3","I/O","",""
"C8","PC12","I/O","",""
"C9","PA9","I/O","",""
"C10","PA11","I/O","",""
"D1","PH1-OSC_OUT (PH1)","I/O","",""
"D2","VDD","Power","",""
"D3","PE5","I/O","",""
"D4","PE0","I/O","",""
"D5","BOOT0","Boot","",""
"D6","PD7","I/O","",""
"D7","PD4","I/O","",""
"D8","PD0","I/O","",""
"D9","PA8","I/O","",""
"D10","PA10","I/O","",""
"E1","NRST","Reset","",""
"E2","PC2_C","I/O","",""
"E3","PE6","I/O","",""
"E4","VSS","Power","",""
"E5","VSS","Power","",""
"E6","VSS","Power","",""
"E7","VCAP","Power","",""
"E8","PD1","I/O","",""
"E9","PC9","I/O","",""
"E10","PC7","I/O","",""
"F1","PC0","I/O","",""
"F2","PC1","I/O","",""
"F3","PC3_C","I/O","",""
"F4","VDDLDO","Power","",""
"F5","VDD","Power","",""
"F6","VDD33_USB","Power","",""
"F7","PDR_ON","Reset","",""
"F8","VCAP","Power","",""
"F9","PC8","I/O","",""
"F10","PC6","I/O","",""
"G1","VSSA","Power","",""
"G2","PA0","I/O","",""
"G3","PA4","I/O","",""
"G4","PC4","I/O","",""
"G5","PB2","I/O","",""
"G6","PE10","I/O","",""
"G7","PE14","I/O","",""
"G8","PD15","I/O","",""
"G9","PD11","I/O","",""
"G10","PB15","I/O","",""
"H1","VDDA","Power","",""
"H2","PA1","I/O","",""
"H3","PA5","I/O","",""
"H4","PC5","I/O","",""
"H5","PE7","I/O","",""
"H6","PE11","I/O","",""
"H7","PE15","I/O","",""
"H8","PD14","I/O","",""
"H9","PD10","I/O","",""
"H10","PB14","I/O","",""
"J1","VSS","Power","",""
"J2","PA2","I/O","",""
"J3","PA6","I/O","",""
"J4","PB0","I/O","",""
"J5","PE8","I/O","",""
"J6","PE12","I/O","",""
"J7","PB10","I/O","",""
"J8","PB13","I/O","",""
"J9","PD9","I/O","",""
"J10","PD13","I/O","",""
"K1","VDD","Power","",""
"K2","PA3","I/O","",""
"K3","PA7","I/O","",""
"K4","PB1","I/O","",""
"K5","PE9","I/O","",""
"K6","PE13","I/O","",""
"K7","PB11","I/O","",""
"K8","PB12","I/O","",""
"K9","PD8","I/O","",""
"K10","PD12","I/O","",""
