"Position","Name","Type","Signal","Label"
"A1","VSS","Power","",""
"A2","PB8","I/O","",""
"A3","VDDLDO","Power","",""
"A4","VCAP","Power","",""
"A5","PB6","I/O","",""
"A6","PB3 (JTDO/TRACESWO)","I/O","",""
"A7","PG11","I/O","",""
"A8","PG9","I/O","",""
"A9","PD3","I/O","",""
"A10","PD1","I/O","",""
"A11","PA15 (JTDI)","I/O","",""
"A12","PA14 (JTCK/SWCLK)","I/O","",""
"A13","VDDLDO","Power","",""
"A14","VCAP","Power","",""
"A15","VSS","Power","",""
"B1","PE4","I/O","",""
"B2","PE3","I/O","",""
"B3","PB9","I/O","",""
"B4","PE0","I/O","",""
"B5","PB7","I/O","",""
"B6","PB4 (NJTRST)","I/O","",""
"B7","PG13","I/O","",""
"B8","PD7","I/O","",""
"B9","PD5","I/O","",""
"B10","PD2","I/O","",""
"B11","PC12","I/O","",""
"B12","PH14","I/O","",""
"B13","PA13 (JTMS/SWDIO)","I/O","",""
"B14","PA8","I/O","",""
"B15","PA12","I/O","",""
"C1","PC13","I/O","",""
"C2","VSS","Power","",""
"C3","PE2","I/O","",""
"C4","PE1","I/O","",""
"C5","BOOT0","Boot","",""
"C6","PB5","I/O","",""
"C7","PG14","I/O","",""
"C8","PG10","I/O","",""
"C9","PD4","I/O","",""
"C10","PD0","I/O","",""
"C11","PC11","I/O","",""
"C12","PC10","I/O","",""
"C13","PH13","I/O","",""
"C14","PA10","I/O","",""
"C15","PA11","I/O","",""
"D1","PC15-OSC32_OUT (OSC32_OUT)","I/O","",""
"D2","PC14-OSC32_IN (OSC32_IN)","I/O","",""
"D3","PE5","I/O","",""
"D4","PDR_ON","Reset","",""
"D5","VDD","Power","",""
"D6","VSS","Power","",""
"D7","PG15","I/O","",""
"D8","PG12","I/O","",""
"D9","PD6","I/O","",""
"D10","VSS","Power","",""
"D11","VDD","Power","",""
"D12","PH15","I/O","",""
"D13","PA9","I/O","",""
"D14","PC8","I/O","",""
"D15","PC7","I/O","",""
"E1","VSS","Power","",""
"E2","VBAT","Power","",""
"E3","PE6","I/O","",""
"E4","VDD","Power","",""
"E12","VDD","Power","",""
"E13","PC9","I/O","",""
"E14","PC6","I/O","",""
"E15","VDD50_USB","Power","",""
"F1","VLXSMPS","Power","",""
"F2","VSSSMPS","Power","",""
"F3","PF1","I/O","",""
"F4","PF0","I/O","",""
"F6","VSS","Power","",""
"F7","VSS","Power","",""
"F8","VSS","Power","",""
"F9","VSS","Power","",""
"F10","VSS","Power","",""
"F12","VSS","Power","",""
"F13","VDD33_USB","Power","",""
"F14","PG6","I/O","",""
"F15","PG5","I/O","",""
"G1","VDDSMPS","Power","",""
"G2","VFBSMPS","Power","",""
"G3","PF2","I/O","",""
"G4","VDD","Power","",""
"G6","VSS","Power","",""
"G7","VSS","Power","",""
"G8","VSS","Power","",""
"G9","VSS","Power","",""
"G10","VSS","Power","",""
"G12","PG8","I/O","",""
"G13","PG7","I/O","",""
"G14","PG4","I/O","",""
"G15","PG2","I/O","",""
"H1","PF6","I/O","",""
"H2","PF4","I/O","",""
"H3","PF5","I/O","",""
"H4","PF3","I/O","",""
"H6","VSS","Power","",""
"H7","VSS","Power","",""
"H8","VSS","Power","",""
"H9","VSS","Power","",""
"H10","VSS","Power","",""
"H12","VDD","Power","",""
"H13","PG3","I/O","",""
"H14","PD14","I/O","",""
"H15","PD13","I/O","",""
"J1","PH0-OSC_IN (PH0)","I/O","",""
"J2","PF8","I/O","",""
"J3","PF7","I/O","",""
"J4","PF9","I/O","",""
"J6","VSS","Power","",""
"J7","VSS","Power","",""
"J8","VSS","Power","",""
"J9","VSS","Power","",""
"J10","VSS","Power","",""
"J12","PD15","I/O","",""
"J13","PD11","I/O","",""
"J14","VSS","Power","",""
"J15","PD12","I/O","",""
"K1","PH1-OSC_OUT (PH1)","I/O","",""
"K2","VSS","Power","",""
"K3","PF10","I/O","",""
"K4","VDD","Power","",""
"K6","VSS","Power","",""
"K7","VSS","Power","",""
"K8","VSS","Power","",""
"K9","VSS","Power","",""
"K10","VSS","Power","",""
"K12","VSS","Power","",""
"K13","PD9","I/O","",""
