"Position","Name","Type","Signal","Label"
"1","PE2","I/O","",""
"2","PE3","I/O","",""
"3","PE4","I/O","",""
"4","PE5","I/O","",""
"5","PE6","I/O","",""
"6","VSS","Power","",""
"7","VDD","Power","",""
"8","VBAT","Power","",""
"9","PC13","I/O","",""
"10","PC14-OSC32_IN (OSC32_IN)","I/O","",""
"11","PC15-OSC32_OUT (OSC32_OUT)","I/O","",""
"12","VSS","Power","",""
"13","VDD","Power","",""
"14","VSSSMPS","Power","",""
"15","VLXSMPS","Power","",""
"16","VDDSMPS","Power","",""
"17","VFBSMPS","Power","",""
"18","VSS","Power","",""
"19","VDD","Power","",""
"20","PF6","I/O","",""
"21","PF7","I/O","",""
"22","PF8","I/O","",""
"23","PF9","I/O","",""
"24","PF10","I/O","",""
"25","PH0-OSC_IN (PH0)","I/O","",""
"26","PH1-OSC_OUT (PH1)","I/O","",""
"27","NRST","Reset","",""
"28","PC0","I/O","",""
"29","PC1","I/O","",""
"30","PC2_C","I/O","",""
"31","PC3_C","I/O","",""
"32","VDD","Power","",""
"33","VSS","Power","",""
"34","VSSA","Power","",""
"35","VREF+","MonoIO","",""
"36","VDDA","Power","",""
"37","PA0","I/O","",""
"38","PA1","I/O","",""
"39","PA2","I/O","",""
"40","PA3","I/O","",""
"41","VSS","Power","",""
"42","VDD","Power","",""
"43","PA4","I/O","",""
"44","PA5","I/O","",""
"45","PA6","I/O","",""
"46","PA7","I/O","",""
"47","PC4","I/O","",""
"48","PC5","I/O","",""
"49","PB0","I/O","",""
"50","PB1","I/O","",""
"51","PB2","I/O","",""
"52","PF11","I/O","",""
"53","PF14","I/O","",""
"54","PF15","I/O","",""
"55","VSS","Power","",""
"56","VDD","Power","",""
"57","PE7","I/O","",""
"58","PE8","I/O","",""
"59","PE9","I/O","",""
"60","PE10","I/O","",""
"61","PE11","I/O","",""
"62","PE12","I/O","",""
"63","PE13","I/O","",""
"64","PE14","I/O","",""
"65","PE15","I/O","",""
"66","PB10","I/O","",""
"67","PB11","I/O","",""
"68","VCAP","Power","",""
"69","VSS","Power","",""
"70","VDDLDO","Power","",""
"71","VDD","Power","",""
"72","PB12","I/O","",""
"73","PB13","I/O","",""
"74","PB14","I/O","",""
"75","PB15","I/O","",""
"76","PD8","I/O","",""
"77","PD9","I/O","",""
"78","PD10","I/O","",""
"79","VDD","Power","",""
"80","VSS","Power","",""
"81","PD11","I/O","",""
"82","PD12","I/O","",""
"83","PD13","I/O","",""
"84","PD14","I/O","",""
"85","PD15","I/O","",""
"86","PG6","I/O","",""
"87","PG7","I/O","",""
"88","PG8","I/O","",""
"89","VSS","Power","",""
"90","VDD50_USB","Power","",""
"91","VDD33_USB","Power","",""
"92","VDD","Power","",""
"93","PC6","I/O","",""
"94","PC7","I/O","",""
"95","PC8","I/O","",""
"96","PC9","I/O","",""
"97","PA8","I/O","",""
"98","PA9","I/O","",""
"99","PA10","I/O","",""
"100","PA11","I/O","",""
"101","PA12","I/O","",""
"102","PA13 (JTMS/SWDIO)","I/O","",""
"103","VCAP","Power","",""
"104","VSS","Power","",""
"105","VDDLDO","Power","",""
"106","VDD","Power","",""
"107","PA14 (JTCK/SWCLK)","I/O","",""
"108","PA15 (JTDI)","I/O","",""
"109","PC10","I/O","",""
"110","PC11","I/O","",""
"111","PC12","I/O","",""
"112","PD0","I/O","",""
"113","PD1","I/O","",""
"114","PD2","I/O","",""
"115","PD3","I/O","",""
"116","PD4","I/O","",""
"117","PD5","I/O","",""
"118","VSS","Power","",""
"119","VDD","Power","",""
"120","PD6","I/O","",""
"121","PD7","I/O","",""
"122","PG9","I/O","",""
"123","PG10","I/O","",""
"124","PG11","I/O","",""
"125","PG12","I/O","",""
"126","PG13","I/O","",""
"127","PG14","I/O","",""
"128","VSS","Power","",""
"129","VDD","Power","",""
"130","PB3 (JTDO/TRACESWO)","I/O","",""
"131","PB4 (NJTRST)","I/O","",""
"132","PB5","I/O","",""
"133","PB6","I/O","",""
"134","PB7","I/O","",""
"135","BOOT0","Boot","",""
"136","PB8","I/O","",""
"137","PB9","I/O","",""
"138","PE0","I/O","",""
"139","PE1","I/O","",""
"140","VCAP","Power","",""
"141","VSS","Power","",""
"142","PDR_ON","Reset","",""
"143","VDDLDO","Power","",""
"144","VDD","Power","",""
