"Position","Name","Type","Signal","Label"
"A1","PA13","I/O","",""
"A2","PA14","I/O","",""
"A3","PB6","I/O","",""
"A4","PB7","I/O","",""
"A5","PB9-BOOT0","I/O","",""
"B1","PA9","I/O","",""
"B2","PB3","I/O","",""
"B3","PA4","I/O","",""
"B4","PA1","I/O","",""
"B5","PC14-OSC32_IN","I/O","",""
"C1","PA8","I/O","",""
"C2","PA10","I/O","",""
"C3","PA7","I/O","",""
"C4","VDDA","Power","",""
"C5","PC15-OSC32_OUT","I/O","",""
"D1","VDD","Power","",""
"D2","PB1","I/O","",""
"D3","PA5","I/O","",""
"D4","PA2","I/O","",""
"D5","NRST","Reset","",""
"E1","VSS","Power","",""
"E2","PB0","I/O","",""
"E3","PA6","I/O","",""
"E4","PA3","I/O","",""
"E5","PA0-CK_IN","I/O","",""
