"Position","Name","Type","Signal","Label"
"A1","PA13","I/O","",""
"A2","PA15","I/O","",""
"A3","PB4","I/O","",""
"A4","PB7","I/O","",""
"A5","VDD","Power","",""
"A6","PC14-OSC32_IN","I/O","",""
"B1","PA12","I/O","",""
"B2","PA14","I/O","",""
"B3","PB3","I/O","",""
"B4","PB6","I/O","",""
"B5","PB8","I/O","",""
"B6","PC15-OSC32_OUT","I/O","",""
"C1","PA10","I/O","",""
"C2","PA11","I/O","",""
"C3","PB1","I/O","",""
"C4","PB5","I/O","",""
"C5","BOOT0","Boot","",""
"C6","NRST","Reset","",""
"D1","PA9","I/O","",""
"D2","PB11","I/O","",""
"D3","PB0","I/O","",""
"D4","PA0","I/O","",""
"D5","VDDA","Power","",""
"D6","VSS","Power","",""
"E1","PA8","I/O","",""
"E2","PB10","I/O","",""
"E3","PA6","I/O","",""
"E4","PA4","I/O","",""
"E5","PA2","I/O","",""
"E6","VREF+","Power","",""
"F1","VDD","Power","",""
"F2","PB2","I/O","",""
"F3","PA7","I/O","",""
"F4","PA5","I/O","",""
"F5","PA3","I/O","",""
"F6","PA1","I/O","",""
