"Position","Name","Type","Signal","Label"
"A1","VDD_USB","Power","",""
"A2","PA15","I/O","",""
"A3","PB3","I/O","",""
"A4","PB5","I/O","",""
"A5","BOOT0","Boot","",""
"A6","PB9","I/O","",""
"A7","VDD","Power","",""
"B1","PA12","I/O","",""
"B2","PA14","I/O","",""
"B3","PB4","I/O","",""
"B4","PB6","I/O","",""
"B5","PB8","I/O","",""
"B6","VDD","Power","",""
"B7","PC13","I/O","",""
"C1","PA10","I/O","",""
"C2","PA13","I/O","",""
"C3","PB7","I/O","",""
"C4","PC1","I/O","",""
"C5","PC0","I/O","",""
"C6","PC14-OSC32_IN","I/O","",""
"C7","PC15-OSC32_OUT","I/O","",""
"D1","PA8","I/O","",""
"D2","PA11","I/O","",""
"D3","PB1","I/O","",""
"D4","VSS","Power","",""
"D5","NRST","Reset","",""
"D6","PH0-OSC_IN","I/O","",""
"D7","PH1-OSC_OUT","I/O","",""
"E1","PB15","I/O","",""
"E2","PA9","I/O","",""
"E3","PB2","I/O","",""
"E4","PA1","I/O","",""
"E5","PA0","I/O","",""
"E6","VREF+","Power","",""
"E7","PC2","I/O","",""
"F1","PB14","I/O","",""
"F2","PB13","I/O","",""
"F3","PB11","I/O","",""
"F4","PA7","I/O","",""
"F5","PA4","I/O","",""
"F6","PA2","I/O","",""
"F7","VDDA","Power","",""
"G1","PB12","I/O","",""
"G2","VDD","Power","",""
"G3","PB10","I/O","",""
"G4","PB0","I/O","",""
"G5","PA6","I/O","",""
"G6","PA5","I/O","",""
"G7","PA3","I/O","",""
