"Position","Name","Type","Signal","Label"
"A1","VDD","Power","",""
"A2","PC10","I/O","",""
"A3","PD2","I/O","",""
"A4","PB3","I/O","",""
"A5","PB5","I/O","",""
"A6","BOOT0","Boot","",""
"A7","VSS","Power","",""
"A8","VDD","Power","",""
"B1","VSS","Power","",""
"B2","PA14","I/O","",""
"B3","PC11","I/O","",""
"B4","PB4","I/O","",""
"B5","PB6","I/O","",""
"B6","PB9","I/O","",""
"B7","PC15-OSC32_OUT","I/O","",""
"B8","PC14-OSC32_IN","I/O","",""
"C1","PA11","I/O","",""
"C2","PA12","I/O","",""
"C3","PA15","I/O","",""
"C4","PC12","I/O","",""
"C5","PB7","I/O","",""
"C6","VLCD","Power","",""
"C7","NRST","Reset","",""
"C8","PC13-WKUP2","I/O","",""
"D1","PC9","I/O","",""
"D2","PA9","I/O","",""
"D3","PA10","I/O","",""
"D4","PA13","I/O","",""
"D5","PB8","I/O","",""
"D6","PC2","I/O","",""
"D7","PH1-OSC_OUT","I/O","",""
"D8","PH0-OSC_IN","I/O","",""
"E1","PC6","I/O","",""
"E2","PC7","I/O","",""
"E3","PC8","I/O","",""
"E4","PA8","I/O","",""
"E5","PA5","I/O","",""
"E6","PA1","I/O","",""
"E7","VSSA","Power","",""
"E8","PC0","I/O","",""
"F1","PB15","I/O","",""
"F2","PB14","I/O","",""
"F3","PB11","I/O","",""
"F4","PB1","I/O","",""
"F5","VSS","Power","",""
"F6","PA0-WKUP1","I/O","",""
"F7","PC3","I/O","",""
"F8","PC1","I/O","",""
"G1","PB13","I/O","",""
"G2","PB12","I/O","",""
"G3","PB10","I/O","",""
"G4","PA7","I/O","",""
"G5","PA6","I/O","",""
"G6","VDD","Power","",""
"G7","PA3","I/O","",""
"G8","VDDA","Power","",""
"H1","VDD","Power","",""
"H2","VSS","Power","",""
"H3","PB2","I/O","",""
"H4","PB0","I/O","",""
"H5","PC5","I/O","",""
"H6","PC4","I/O","",""
"H7","PA4","I/O","",""
"H8","PA2","I/O","",""
