"Position","Name","Type","Signal","Label"
"A1","VSS","Power","",""
"A2","PA15","I/O","",""
"A3","PC11","I/O","",""
"A4","PD2","I/O","",""
"A5","PB5","I/O","",""
"A6","BOOT0","Boot","",""
"A7","VSS","Power","",""
"B1","PA11","I/O","",""
"B2","VDD","Power","",""
"B3","PC10","I/O","",""
"B4","PC12","I/O","",""
"B5","PB6","I/O","",""
"B6","PB8","I/O","",""
"B7","VDD","Power","",""
"C1","PA9","I/O","",""
"C2","PA13","I/O","",""
"C3","PA14","I/O","",""
"C4","PB3","I/O","",""
"C5","PB7","I/O","",""
"C6","PB9","I/O","",""
"C7","VLCD","Power","",""
"D1","PC8","I/O","",""
"D2","PA10","I/O","",""
"D3","PA12","I/O","",""
"D4","PB4","I/O","",""
"D5","PC13-WKUP2","I/O","",""
"D6","PC15-OSC32_OUT","I/O","",""
"D7","PC14-OSC32_IN","I/O","",""
"E1","PC7","I/O","",""
"E2","PC9","I/O","",""
"E3","PA8","I/O","",""
"E4","PA0-WKUP1","I/O","",""
"E5","PC1","I/O","",""
"E6","PC0","I/O","",""
"E7","NRST","Reset","",""
"F1","PC6","I/O","",""
"F2","PB15","I/O","",""
"F3","PB14","I/O","",""
"F4","PC4","I/O","",""
"F5","VSSA","Power","",""
"F6","PH0-OSC_IN","I/O","",""
"F7","PH1-OSC_OUT","I/O","",""
"G1","PB13","I/O","",""
"G2","PB12","I/O","",""
"G3","PB2","I/O","",""
"G4","PA6","I/O","",""
"G5","PA1","I/O","",""
"G6","PC3","I/O","",""
"G7","PC2","I/O","",""
"H1","VDD","Power","",""
"H2","PB11","I/O","",""
"H3","PB1","I/O","",""
"H4","PA5","I/O","",""
"H5","VSS","Power","",""
"H6","PA2","I/O","",""
"H7","VDDA","Power","",""
"J1","VSS","Power","",""
"J2","PB10","I/O","",""
"J3","PB0","I/O","",""
"J4","PC5","I/O","",""
"J5","PA7","I/O","",""
"J6","PA4","I/O","",""
"J7","PA3","I/O","",""
