"Position","Name","Type","Signal","Label"
"A1","PA12","I/O","",""
"A2","PA14 (JTCK/SWCLK)","I/O","",""
"A3","PB4 (NJTRST)","I/O","",""
"A4","PB7","I/O","",""
"A5","VSS","Power","",""
"A6","VDD","Power","",""
"B1","PA11","I/O","",""
"B2","PA13 (JTMS/SWDIO)","I/O","",""
"B3","PB3 (JTDO/TRACESWO)","I/O","",""
"B4","PB6","I/O","",""
"B5","PB8","I/O","",""
"B6","PC14-OSC32_IN (PC14)","I/O","",""
"C1","PA9","I/O","",""
"C2","PA10","I/O","",""
"C3","PA15 (JTDI)","I/O","",""
"C4","PB5","I/O","",""
"C5","PH3-BOOT0 (BOOT0)","I/O","",""
"C6","PC15-OSC32_OUT (PC15)","I/O","",""
"D1","PA8","I/O","",""
"D2","PB1","I/O","",""
"D3","PA6","I/O","",""
"D4","PA1","I/O","",""
"D5","PA0-CK_IN","I/O","",""
"D6","NRST","Reset","",""
"E1","VDD","Power","",""
"E2","PB2","I/O","",""
"E3","PA7","I/O","",""
"E4","PA5","I/O","",""
"E5","PA2","I/O","",""
"E6","VREF+","Power","",""
"F1","VSS","Power","",""
"F2","PB10","I/O","",""
"F3","PB0","I/O","",""
"F4","PA4","I/O","",""
"F5","PA3","I/O","",""
"F6","VDDA","Power","",""
