"Position","Name","Type","Signal","Label"
"A1","VSS","Power","",""
"A2","PE0","I/O","",""
"A3","PB8","I/O","",""
"A4","BOOT0","Boot","",""
"A5","PB7","I/O","",""
"A6","PG14","I/O","",""
"A7","PG12","I/O","",""
"A8","PD7","I/O","",""
"A9","PD6","I/O","",""
"A10","PD1","I/O","",""
"A11","PD0","I/O","",""
"A12","VSS","Power","",""
"B1","VBAT","Power","",""
"B2","PE4","I/O","",""
"B3","PE3","I/O","",""
"B4","PE1","I/O","",""
"B5","PB6","I/O","",""
"B6","PG15","I/O","",""
"B7","PG11","I/O","",""
"B8","PD5","I/O","",""
"B9","PC12","I/O","",""
"B10","PC10","I/O","",""
"B11","PA12","I/O","",""
"B12","PA11","I/O","",""
"C1","PC15-OSC32_OUT (PC15)","I/O","",""
"C2","PE5","I/O","",""
"C3","PE2","I/O","",""
"C4","PB9","I/O","",""
"C5","PB5","I/O","",""
"C6","PB3 (JTDO-TRACESWO)","I/O","",""
"C7","PG9","I/O","",""
"C8","PD4","I/O","",""
"C9","PC11","I/O","",""
"C10","PA14 (JTCK-SWCLK)","I/O","",""
"C11","PA13 (JTMS-SWDIO)","I/O","",""
"C12","PA10","I/O","",""
"D1","PF4","I/O","",""
"D2","PC14-OSC32_IN (PC14)","I/O","",""
"D3","PE6","I/O","",""
"D4","PC13","I/O","",""
"D5","PB4 (NJTRST)","I/O","",""
"D6","PG13","I/O","",""
"D7","PG10","I/O","",""
"D8","PD3","I/O","",""
"D9","PD2","I/O","",""
"D10","PA15 (JTDI)","I/O","",""
"D11","PA9","I/O","",""
"D12","PA8","I/O","",""
"E1","PF6","I/O","",""
"E2","PF1","I/O","",""
"E3","PF0","I/O","",""
"E4","PF2","I/O","",""
"E5","VSS","Power","",""
"E6","VDDIO2","Power","",""
"E7","VDD","Power","",""
"E8","VSS","Power","",""
"E9","VDDUSB","Power","",""
"E10","PC6","I/O","",""
"E11","PC9","I/O","",""
"E12","PC8","I/O","",""
"F1","PF8","I/O","",""
"F2","PF7","I/O","",""
"F3","PF5","I/O","",""
"F4","PF3","I/O","",""
"F5","VDD","Power","",""
"F6","VSS","Power","",""
"F7","VSS","Power","",""
"F8","VDDIO2","Power","",""
"F9","PG7","I/O","",""
"F10","PG6","I/O","",""
"F11","PG8","I/O","",""
"F12","PC7","I/O","",""
"G1","PH1-OSC_OUT (PH1)","I/O","",""
"G2","PH0-OSC_IN (PH0)","I/O","",""
"G3","PF10","I/O","",""
"G4","PF9","I/O","",""
"G5","VDD","Power","",""
"G6","VSS","Power","",""
"G7","VSS","Power","",""
"G8","VDD","Power","",""
"G9","PG4","I/O","",""
"G10","PD13","I/O","",""
"G11","PG3","I/O","",""
"G12","PG5","I/O","",""
"H1","PC2","I/O","",""
"H2","PC0","I/O","",""
"H3","PC1","I/O","",""
"H4","NRST","Reset","",""
"H5","VSS","Power","",""
"H6","VDD","Power","",""
"H7","VDD","Power","",""
"H8","VSS","Power","",""
"H9","PD12","I/O","",""
"H10","PD11","I/O","",""
"H11","PD14","I/O","",""
"H12","PG2","I/O","",""
"J1","VSSA","Power","",""
"J2","VREF-","Power","",""
"J3","PA0","I/O","",""
"J4","PC3","I/O","",""
"J5","PC4","I/O","",""
"J6","PF11","I/O","",""
"J7","PG1","I/O","",""
"J8","PE9","I/O","",""
"J9","PB13","I/O","",""
"J10","PB14","I/O","",""
"J11","PD10","I/O","",""
"J12","PD15","I/O","",""
"K1","VREF+","MonoIO","",""
"K2","VDDA","Power","",""
"K3","PA1","I/O","",""
"K4","PA6","I/O","",""
"K5","PB2","I/O","",""
"K6","PF12","I/O","",""
"K7","PG0","I/O","",""
"K8","PE11","I/O","",""
"K9","PB11","I/O","",""
"K10","PB12","I/O","",""
"K11","PD8","I/O","",""
"K12","PD9","I/O","",""
"L1","OPAMP1_VINM","MonoIO","",""
"L2","PA2","I/O","",""
"L3","PA4","I/O","",""
"L4","OPAMP2_VINM","MonoIO","",""
"L5","PB0","I/O","",""
"L6","PF13","I/O","",""
"L7","PE8","I/O","",""
"L8","PE12","I/O","",""
"L9","PE13","I/O","",""
"L10","PE14","I/O","",""
"L11","PB10","I/O","",""
"L12","PB15","I/O","",""
"M1","VSS","Power","",""
"M2","PA3","I/O","",""
"M3","PA5","I/O","",""
"M4","PA7","I/O","",""
"M5","PC5","I/O","",""
"M6","PB1","I/O","",""
"M7","PF14","I/O","",""
"M8","PE7","I/O","",""
"M9","PF15","I/O","",""
"M10","PE10","I/O","",""
"M11","PE15","I/O","",""
"M12","VSS","Power","",""
