"Position","Name","Type","Signal","Label"
"A1","PI10","I/O","",""
"A2","PH2","I/O","",""
"A3","VDD","Power","",""
"A4","PE0","I/O","",""
"A5","PB4 (NJTRST)","I/O","",""
"A6","PB3 (JTDO/TRACESWO)","I/O","",""
"A7","VSS","Power","",""
"A8","VDD","Power","",""
"A9","PA15 (JTDI)","I/O","",""
"A10","PA14 (JTCK/SWCLK)","I/O","",""
"A11","PA13 (JTMS/SWDIO)","I/O","",""
"A12","PI0","I/O","",""
"A13","PH14","I/O","",""
"B1","PI9","I/O","",""
"B2","PI7","I/O","",""
"B3","VSS","Power","",""
"B4","PE1","I/O","",""
"B5","PB5","I/O","",""
"B6","VDDIO2","Power","",""
"B7","PG9","I/O","",""
"B8","PD0","I/O","",""
"B9","PI6","I/O","",""
"B10","PI2","I/O","",""
"B11","PI1","I/O","",""
"B12","PH15","I/O","",""
"B13","PH12","I/O","",""
"C1","VDD","Power","",""
"C2","VSS","Power","",""
"C3","PI11","I/O","",""
"C4","PB8","I/O","",""
"C5","PB6","I/O","",""
"C6","PG15","I/O","",""
"C7","PD4","I/O","",""
"C8","PD1","I/O","",""
"C9","PH13","I/O","",""
"C10","PI3","I/O","",""
"C11","PH9","I/O","",""
"C12","VSS","Power","",""
"C13","VDD","Power","",""
"D1","PE4","I/O","",""
"D2","PE3","I/O","",""
"D3","PE2","I/O","",""
"D4","PB9","I/O","",""
"D5","PB7","I/O","",""
"D6","PG10","I/O","",""
"D7","PD5","I/O","",""
"D8","PD2","I/O","",""
"D9","PC10","I/O","",""
"D10","PI4","I/O","",""
"D11","PA10","I/O","",""
"D12","VDDUSB","Power","",""
"D13","PA12","I/O","",""
"E1","PC13","I/O","",""
"E2","VBAT","Power","",""
"E3","PE6","I/O","",""
"E4","PE5","I/O","",""
"E5","PH3-BOOT0","I/O","",""
"E6","PG11","I/O","",""
"E7","PD6","I/O","",""
"E8","PD3","I/O","",""
"E9","PC11","I/O","",""
"E10","PI5","I/O","",""
"E11","PA8","I/O","",""
"E12","PA9","I/O","",""
"E13","PA11","I/O","",""
"F1","PC14-OSC32_IN (PC14)","I/O","",""
"F2","VSS","Power","",""
"F3","PF2","I/O","",""
"F4","PF1","I/O","",""
"F5","PF0","I/O","",""
"F6","PG12","I/O","",""
"F7","PD7","I/O","",""
"F8","PC12","I/O","",""
"F9","PC8","I/O","",""
"F10","PG8","I/O","",""
"F11","PC6","I/O","",""
"F12","VDDIO2","Power","",""
"F13","VSS","Power","",""
"G1","PC15-OSC32_OUT (PC15)","I/O","",""
"G2","VDD","Power","",""
"G3","PF3","I/O","",""
"G4","PF4","I/O","",""
"G5","PF5","I/O","",""
"G6","PG13","I/O","",""
"G7","PG4","I/O","",""
"G8","PG3","I/O","",""
"G9","PG5","I/O","",""
"G10","PG7","I/O","",""
"G11","PC7","I/O","",""
"G12","PG6","I/O","",""
"G13","PC9","I/O","",""
"H1","PH0-OSC_IN (PH0)","I/O","",""
"H2","VSS","Power","",""
"H3","NRST","Reset","",""
"H4","PF10","I/O","",""
"H5","PG1","I/O","",""
"H6","PE10","I/O","",""
"H7","PB11","I/O","",""
"H8","PD13","I/O","",""
"H9","PG2","I/O","",""
"H10","PD15","I/O","",""
"H11","PD14","I/O","",""
"H12","VSS","Power","",""
"H13","VDD","Power","",""
"J1","PH1-OSC_OUT (PH1)","I/O","",""
"J2","PC0","I/O","",""
"J3","PC1","I/O","",""
"J4","PC2","I/O","",""
"J5","PG0","I/O","",""
"J6","PE9","I/O","",""
"J7","PE15","I/O","",""
"J8","PD12","I/O","",""
"J9","PD11","I/O","",""
"J10","PD10","I/O","",""
"J11","DSIHOST_D1P","MonoIO","",""
"J12","DSIHOST_D1N","MonoIO","",""
"J13","VSSDSI","Power","",""
"K1","PC3","I/O","",""
"K2","VSSA/VREF-","Power","",""
"K3","PA0","I/O","",""
"K4","PC4","I/O","",""
"K5","PF15","I/O","",""
"K6","PE8","I/O","",""
"K7","PE14","I/O","",""
"K8","PH4","I/O","",""
"K9","PD9","I/O","",""
"K10","PD8","I/O","",""
"K11","DSIHOST_CKP","MonoIO","",""
"K12","DSIHOST_CKN","MonoIO","",""
"K13","VSSDSI","Power","",""
"L1","VREF+","MonoIO","",""
"L2","VDDA","Power","",""
"L3","PA5","I/O","",""
"L4","PA6","I/O","",""
"L5","PB1","I/O","",""
"L6","PF14","I/O","",""
"L7","PE7","I/O","",""
"L8","PE13","I/O","",""
"L9","PH5","I/O","",""
"L10","PB15","I/O","",""
"L11","DSIHOST_D0P","MonoIO","",""
"L12","DSIHOST_D0N","MonoIO","",""
"L13","VCAPDSI","Power","",""
"M1","PA1","I/O","",""
"M2","PA3","I/O","",""
"M3","VSS","Power","",""
"M4","PA7","I/O","",""
"M5","PF11","I/O","",""
"M6","PF13","I/O","",""
"M7","VSS","Power","",""
"M8","PE12","I/O","",""
"M9","PH10","I/O","",""
"M10","PH11","I/O","",""
"M11","VSS","Power","",""
"M12","PB14","I/O","",""
"M13","VDDDSI","Power","",""
"N1","PA2","I/O","",""
"N2","PA4","I/O","",""
"N3","VDD","Power","",""
"N4","PB0","I/O","",""
"N5","PB2","I/O","",""
"N6","PF12","I/O","",""
"N7","VDD","Power","",""
"N8","PE11","I/O","",""
"N9","PB10","I/O","",""
"N10","PH8","I/O","",""
"N11","VDD","Power","",""
"N12","PB12","I/O","",""
"N13","PB13","I/O","",""
