"Position","Name","Type","Signal","Label"
"1","PE2","I/O","",""
"2","PE3","I/O","",""
"3","PE4","I/O","",""
"4","PE5","I/O","",""
"5","PE6","I/O","",""
"6","VBAT","Power","",""
"7","PC13","I/O","",""
"8","PC14-OSC32_IN (PC14)","I/O","",""
"9","PC15-OSC32_OUT (PC15)","I/O","",""
"10","VSS","Power","",""
"11","VDD","Power","",""
"12","PH0-OSC_IN (PH0)","I/O","",""
"13","PH1-OSC_OUT (PH1)","I/O","",""
"14","NRST","Reset","",""
"15","PC0","I/O","",""
"16","PC1","I/O","",""
"17","PC2","I/O","",""
"18","PC3","I/O","",""
"19","VSSA/VREF-","Power","",""
"20","VDDA/VREF+","Power","",""
"21","PA0","I/O","",""
"22","PA1","I/O","",""
"23","PA2","I/O","",""
"24","PA3","I/O","",""
"25","VSS","Power","",""
"26","VDD","Power","",""
"27","PA4","I/O","",""
"28","PA5","I/O","",""
"29","PA6","I/O","",""
"30","PA7","I/O","",""
"31","PC4","I/O","",""
"32","PB0","I/O","",""
"33","PB1","I/O","",""
"34","PB2","I/O","",""
"35","PE7","I/O","",""
"36","PE8","I/O","",""
"37","PE9","I/O","",""
"38","PE10","I/O","",""
"39","PE11","I/O","",""
"40","PE12","I/O","",""
"41","PE13","I/O","",""
"42","PE14","I/O","",""
"43","PE15","I/O","",""
"44","PB10","I/O","",""
"45","PB11","I/O","",""
"46","VSS","Power","",""
"47","VDD","Power","",""
"48","PB12","I/O","",""
"49","PB13","I/O","",""
"50","PB14","I/O","",""
"51","PB15","I/O","",""
"52","VDDDSI","Power","",""
"53","VCAPDSI","Power","",""
"54","DSIHOST_D0P","MonoIO","",""
"55","DSIHOST_D0N","MonoIO","",""
"56","VSSDSI","Power","",""
"57","DSIHOST_CKP","MonoIO","",""
"58","DSIHOST_CKN","MonoIO","",""
"59","VDD12DSI","Power","",""
"60","PD8","I/O","",""
"61","PD9","I/O","",""
"62","PD10","I/O","",""
"63","PD14","I/O","",""
"64","PD15","I/O","",""
"65","PC6","I/O","",""
"66","PC7","I/O","",""
"67","PC8","I/O","",""
"68","PC9","I/O","",""
"69","PA8","I/O","",""
"70","PA9","I/O","",""
"71","PA10","I/O","",""
"72","PA11","I/O","",""
"73","PA12","I/O","",""
"74","PA13 (JTMS/SWDIO)","I/O","",""
"75","VDDUSB","Power","",""
"76","VSS","Power","",""
"77","VDD","Power","",""
"78","PA14 (JTCK/SWCLK)","I/O","",""
"79","PA15 (JTDI)","I/O","",""
"80","PC10","I/O","",""
"81","PC11","I/O","",""
"82","PC12","I/O","",""
"83","PD0","I/O","",""
"84","PD1","I/O","",""
"85","PD2","I/O","",""
"86","PD3","I/O","",""
"87","PD4","I/O","",""
"88","PD5","I/O","",""
"89","PD6","I/O","",""
"90","PD7","I/O","",""
"91","PB3 (JTDO/TRACESWO)","I/O","",""
"92","PB4 (NJTRST)","I/O","",""
"93","PB5","I/O","",""
"94","PB6","I/O","",""
"95","PB7","I/O","",""
"96","PH3-BOOT0","I/O","",""
"97","PB8","I/O","",""
"98","PB9","I/O","",""
"99","VSS","Power","",""
"100","VDD","Power","",""
