"Position","Name","Type","Signal","Label"
"1","PE2","I/O","",""
"2","PE3","I/O","",""
"3","PE4","I/O","",""
"4","PE5","I/O","",""
"5","PE6","I/O","",""
"6","VBAT","Power","",""
"7","PC13","I/O","",""
"8","PC14-OSC32_IN (PC14)","I/O","",""
"9","PC15-OSC32_OUT (PC15)","I/O","",""
"10","PF0","I/O","",""
"11","PF1","I/O","",""
"12","PF2","I/O","",""
"13","PF3","I/O","",""
"14","PF4","I/O","",""
"15","PF5","I/O","",""
"16","VSS","Power","",""
"17","VDD","Power","",""
"18","PF6","I/O","",""
"19","PF7","I/O","",""
"20","PF10","I/O","",""
"21","PH0-OSC_IN (PH0)","I/O","",""
"22","PH1-OSC_OUT (PH1)","I/O","",""
"23","NRST","Reset","",""
"24","PC0","I/O","",""
"25","PC1","I/O","",""
"26","PC2","I/O","",""
"27","PC3","I/O","",""
"28","VSSA/VREF-","Power","",""
"29","VREF+","MonoIO","",""
"30","VDDA","Power","",""
"31","PA0","I/O","",""
"32","PA1","I/O","",""
"33","PA2","I/O","",""
"34","PA3","I/O","",""
"35","VSS","Power","",""
"36","VDD","Power","",""
"37","PA4","I/O","",""
"38","PA5","I/O","",""
"39","PA6","I/O","",""
"40","PA7","I/O","",""
"41","PC4","I/O","",""
"42","PB0","I/O","",""
"43","PB1","I/O","",""
"44","PB2","I/O","",""
"45","PF11","I/O","",""
"46","PF12","I/O","",""
"47","VSS","Power","",""
"48","VDD","Power","",""
"49","PF13","I/O","",""
"50","PF14","I/O","",""
"51","PF15","I/O","",""
"52","PG0","I/O","",""
"53","PG1","I/O","",""
"54","PE7","I/O","",""
"55","PE8","I/O","",""
"56","PE9","I/O","",""
"57","VSS","Power","",""
"58","VDD","Power","",""
"59","PE10","I/O","",""
"60","PE11","I/O","",""
"61","PE12","I/O","",""
"62","PE13","I/O","",""
"63","PE14","I/O","",""
"64","PE15","I/O","",""
"65","PB10","I/O","",""
"66","PB11","I/O","",""
"67","VSS","Power","",""
"68","VDD","Power","",""
"69","PB12","I/O","",""
"70","PB13","I/O","",""
"71","PB14","I/O","",""
"72","PB15","I/O","",""
"73","VDDDSI","Power","",""
"74","VCAPDSI","Power","",""
"75","DSIHOST_D0P","MonoIO","",""
"76","DSIHOST_D0N","MonoIO","",""
"77","VSSDSI","Power","",""
"78","DSIHOST_CKP","MonoIO","",""
"79","DSIHOST_CKN","MonoIO","",""
"80","VDD12DSI","Power","",""
"81","PD8","I/O","",""
"82","PD9","I/O","",""
"83","PD10","I/O","",""
"84","PD11","I/O","",""
"85","PD12","I/O","",""
"86","PD13","I/O","",""
"87","VSS","Power","",""
"88","VDD","Power","",""
"89","PD14","I/O","",""
"90","PD15","I/O","",""
"91","PG2","I/O","",""
"92","PG3","I/O","",""
"93","PG4","I/O","",""
"94","PG5","I/O","",""
"95","PG6","I/O","",""
"96","PG7","I/O","",""
"97","PG8","I/O","",""
"98","PC6","I/O","",""
"99","PC7","I/O","",""
"100","PC8","I/O","",""
"101","PC9","I/O","",""
"102","PA8","I/O","",""
"103","PA9","I/O","",""
"104","PA10","I/O","",""
"105","PA11","I/O","",""
"106","PA12","I/O","",""
"107","PA13 (JTMS/SWDIO)","I/O","",""
"108","VDDUSB","Power","",""
"109","VSS","Power","",""
"110","VDD","Power","",""
"111","PA14 (JTCK/SWCLK)","I/O","",""
"112","PA15 (JTDI)","I/O","",""
"113","PC10","I/O","",""
"114","PC11","I/O","",""
"115","PC12","I/O","",""
"116","PD0","I/O","",""
"117","PD1","I/O","",""
"118","PD2","I/O","",""
"119","PD3","I/O","",""
"120","PD4","I/O","",""
"121","PD5","I/O","",""
"122","VSS","Power","",""
"123","VDD","Power","",""
"124","PD6","I/O","",""
"125","PD7","I/O","",""
"126","PG9","I/O","",""
"127","PG10","I/O","",""
"128","PG11","I/O","",""
"129","PG12","I/O","",""
"130","VSS","Power","",""
"131","VDDIO2","Power","",""
"132","PG15","I/O","",""
"133","PB3 (JTDO/TRACESWO)","I/O","",""
"134","PB4 (NJTRST)","I/O","",""
"135","PB5","I/O","",""
"136","PB6","I/O","",""
"137","PB7","I/O","",""
"138","PH3-BOOT0","I/O","",""
"139","PB8","I/O","",""
"140","PB9","I/O","",""
"141","PE0","I/O","",""
"142","PE1","I/O","",""
"143","VSS","Power","",""
"144","VDD","Power","",""
