"Position","Name","Type","Signal","Label"
"A1","VSS","Power","",""
"A2","PE0","I/O","",""
"A3","PB9","I/O","",""
"A4","PH3-BOOT0","I/O","",""
"A5","PB4 (NJTRST)","I/O","",""
"A6","VDDIO2","Power","",""
"A7","VSS","Power","",""
"A8","PD3","I/O","",""
"A9","PC11","I/O","",""
"A10","PA14 (JTCK/SWCLK)","I/O","",""
"A11","VDD","Power","",""
"A12","VSS","Power","",""
"B1","VBAT","Power","",""
"B2","VDD","Power","",""
"B3","PE3","I/O","",""
"B4","PB8","I/O","",""
"B5","PB5","I/O","",""
"B6","PB3 (JTDO/TRACESWO)","I/O","",""
"B7","PD6","I/O","",""
"B8","PD1","I/O","",""
"B9","PA15 (JTDI)","I/O","",""
"B10","PA13 (JTMS/SWDIO)","I/O","",""
"B11","PA12","I/O","",""
"B12","PA11","I/O","",""
"C1","VSS","Power","",""
"C2","PE5","I/O","",""
"C3","PE2","I/O","",""
"C4","PE1","I/O","",""
"C5","PB7","I/O","",""
"C6","PG13","I/O","",""
"C7","PD4","I/O","",""
"C8","PD0","I/O","",""
"C9","PC10","I/O","",""
"C10","PA10","I/O","",""
"C11","VDDUSB","Power","",""
"C12","PC9","I/O","",""
"D1","PC14-OSC32_IN (PC14)","I/O","",""
"D2","PC15-OSC32_OUT (PC15)","I/O","",""
"D3","PE4","I/O","",""
"D4","PE6","I/O","",""
"D5","PB6","I/O","",""
"D6","PG12","I/O","",""
"D7","PD5","I/O","",""
"D8","PD2","I/O","",""
"D9","PC12","I/O","",""
"D10","PA9","I/O","",""
"D11","PA8","I/O","",""
"D12","PC6","I/O","",""
"E1","PF2","I/O","",""
"E2","PF1","I/O","",""
"E3","PF0","I/O","",""
"E4","PC13","I/O","",""
"E5","PF3","I/O","",""
"E6","PG10","I/O","",""
"E7","PD7","I/O","",""
"E8","PG8","I/O","",""
"E9","PC7","I/O","",""
"E10","PC8","I/O","",""
"E11","PG7","I/O","",""
"E12","VDDIO2","Power","",""
"F1","PF8","I/O","",""
"F2","PF6","I/O","",""
"F3","PF4","I/O","",""
"F4","PF5","I/O","",""
"F5","PF7","I/O","",""
"F6","PG9","I/O","",""
"F7","PG3","I/O","",""
"F8","PG5","I/O","",""
"F9","PG6","I/O","",""
"F10","PG4","I/O","",""
"F11","VSS","Power","",""
"F12","PG2","I/O","",""
"G1","VDD","Power","",""
"G2","VSS","Power","",""
"G3","PF10","I/O","",""
"G4","PF9","I/O","",""
"G5","PF12","I/O","",""
"G6","PE7","I/O","",""
"G7","PD15","I/O","",""
"G8","PD14","I/O","",""
"G9","PD12","I/O","",""
"G10","PD13","I/O","",""
"G11","PD11","I/O","",""
"G12","VDD","Power","",""
"H1","PH0-OSC_IN (PH0)","I/O","",""
"H2","PH1-OSC_OUT (PH1)","I/O","",""
"H3","PC0","I/O","",""
"H4","PC2","I/O","",""
"H5","PB2","I/O","",""
"H6","PF15","I/O","",""
"H7","PE11","I/O","",""
"H8","PD10","I/O","",""
"H9","PD9","I/O","",""
"H10","PD8","I/O","",""
"H11","DSIHOST_D1P","MonoIO","",""
"H12","DSIHOST_D1N","MonoIO","",""
"J1","NRST","Reset","",""
"J2","PC1","I/O","",""
"J3","PC3","I/O","",""
"J4","PA6","I/O","",""
"J5","PB1","I/O","",""
"J6","PF13","I/O","",""
"J7","PE9","I/O","",""
"J8","PE13","I/O","",""
"J9","PB15","I/O","",""
"J10","VSSDSI","Power","",""
"J11","DSIHOST_CKP","MonoIO","",""
"J12","DSIHOST_CKN","MonoIO","",""
"K1","VSSA/VREF-","Power","",""
"K2","VREF+","MonoIO","",""
"K3","PA0","I/O","",""
"K4","PA4","I/O","",""
"K5","PC5","I/O","",""
"K6","PF11","I/O","",""
"K7","PE8","I/O","",""
"K8","PE15","I/O","",""
"K9","PB11","I/O","",""
"K10","PB14","I/O","",""
"K11","DSIHOST_D0P","MonoIO","",""
"K12","DSIHOST_D0N","MonoIO","",""
"L1","VDDA","Power","",""
"L2","PA1","I/O","",""
"L3","PA2","I/O","",""
"L4","PA5","I/O","",""
"L5","PC4","I/O","",""
"L6","VSS","Power","",""
"L7","PG0","I/O","",""
"L8","PE10","I/O","",""
"L9","PB10","I/O","",""
"L10","PB12","I/O","",""
"L11","VDD","Power","",""
"L12","VCAPDSI","Power","",""
"M1","VSS","Power","",""
"M2","VDD","Power","",""
"M3","PA3","I/O","",""
"M4","PA7","I/O","",""
"M5","PB0","I/O","",""
"M6","VDD","Power","",""
"M7","PF14","I/O","",""
"M8","PG1","I/O","",""
"M9","PE12","I/O","",""
"M10","PE14","I/O","",""
"M11","PB13","I/O","",""
"M12","VSS","Power","",""
