"Position","Name","Type","Signal","Label"
"A1","VDD","Power","",""
"A2","PC10","I/O","",""
"A3","PD2","I/O","",""
"A4","PG13","I/O","",""
"A5","VDDIO2","Power","",""
"A6","PB5","I/O","",""
"A7","PB9","I/O","",""
"A8","VDD12","Power","",""
"A9","VDD","Power","",""
"B1","VDDUSB","Power","",""
"B2","VSS","Power","",""
"B3","PC12","I/O","",""
"B4","PG12","I/O","",""
"B5","VSS","Power","",""
"B6","PB4 (NJTRST)","I/O","",""
"B7","PC13","I/O","",""
"B8","VSS","Power","",""
"B9","VBAT","Power","",""
"C1","PA11","I/O","",""
"C2","PA12","I/O","",""
"C3","PC11","I/O","",""
"C4","PG10","I/O","",""
"C5","PG15","I/O","",""
"C6","PB6","I/O","",""
"C7","PB8","I/O","",""
"C8","PC15-OSC32_OUT (PC15)","I/O","",""
"C9","PC14-OSC32_IN (PC14)","I/O","",""
"D1","PA9","I/O","",""
"D2","PA13 (JTMS/SWDIO)","I/O","",""
"D3","PA14 (JTCK/SWCLK)","I/O","",""
"D4","PG9","I/O","",""
"D5","PG14","I/O","",""
"D6","PB7","I/O","",""
"D7","PH3-BOOT0","I/O","",""
"D8","PH1-OSC_OUT (PH1)","I/O","",""
"D9","PH0-OSC_IN (PH0)","I/O","",""
"E1","PC6","I/O","",""
"E2","PC7","I/O","",""
"E3","PA10","I/O","",""
"E4","PA15 (JTDI)","I/O","",""
"E5","PG11","I/O","",""
"E6","PB3 (JTDO/TRACESWO)","I/O","",""
"E7","PC0","I/O","",""
"E8","VSS","Power","",""
"E9","NRST","Reset","",""
"F1","PB15","I/O","",""
"F2","PB13","I/O","",""
"F3","PC8","I/O","",""
"F4","PA8","I/O","",""
"F5","PA3","I/O","",""
"F6","PA1","I/O","",""
"F7","PC2","I/O","",""
"F8","PC1","I/O","",""
"F9","VDD","Power","",""
"G1","PB14","I/O","",""
"G2","PB12","I/O","",""
"G3","PC9","I/O","",""
"G4","PC4","I/O","",""
"G5","PA6","I/O","",""
"G6","PA2","I/O","",""
"G7","PC3","I/O","",""
"G8","VREF+","MonoIO","",""
"G9","VSSA/VREF-","Power","",""
"H1","VDD","Power","",""
"H2","VSS","Power","",""
"H3","PE15","I/O","",""
"H4","PE14","I/O","",""
"H5","PB1","I/O","",""
"H6","PA5","I/O","",""
"H7","PA4","I/O","",""
"H8","PA0","I/O","",""
"H9","VDDA","Power","",""
"J1","VDD12","Power","",""
"J2","PB11","I/O","",""
"J3","PB10","I/O","",""
"J4","PE13","I/O","",""
"J5","PB2","I/O","",""
"J6","PB0","I/O","",""
"J7","PA7","I/O","",""
"J8","VDD","Power","",""
"J9","VSS","Power","",""
