"Position","Name","Type","Signal","Label"
"A1","PE5","I/O","",""
"A2","PE3","I/O","",""
"A3","PE1","I/O","",""
"A4","PB9","I/O","",""
"A5","PB6","I/O","",""
"A6","PG12","I/O","",""
"A7","PD6","I/O","",""
"A8","PD5","I/O","",""
"A9","PD2","I/O","",""
"A10","PC11","I/O","",""
"A11","PA15 (JTDI)","I/O","",""
"A12","VDDUSB","Power","",""
"B1","VBAT","Power","",""
"B2","PE4","I/O","",""
"B3","PE2","I/O","",""
"B4","V15SMPS","Power","",""
"B5","PH3-BOOT0","I/O","",""
"B6","PB4 (NJTRST)","I/O","",""
"B7","PG9","I/O","",""
"B8","PD4","I/O","",""
"B9","PD1","I/O","",""
"B10","PC12","I/O","",""
"B11","PC10","I/O","",""
"B12","PA12","I/O","",""
"C1","PC14-OSC32_IN (PC14)","I/O","",""
"C2","PE6","I/O","",""
"C3","PC13","I/O","",""
"C4","PE0","I/O","",""
"C5","PB8","I/O","",""
"C6","PB3 (JTDO/TRACESWO)","I/O","",""
"C7","PG10","I/O","",""
"C8","PD3","I/O","",""
"C9","PD0","I/O","",""
"C10","PA13 (JTMS/SWDIO)","I/O","",""
"C11","PA14 (JTCK/SWCLK)","I/O","",""
"C12","PA11","I/O","",""
"D1","PC15-OSC32_OUT (PC15)","I/O","",""
"D2","PF0","I/O","",""
"D3","PF3","I/O","",""
"D4","VDD","Power","",""
"D5","PB7","I/O","",""
"D6","PB5","I/O","",""
"D7","PD7","I/O","",""
"D8","VDDIO2","Power","",""
"D9","VDD","Power","",""
"D10","PA9","I/O","",""
"D11","PA10","I/O","",""
"D12","PA8","I/O","",""
"E1","PF2","I/O","",""
"E2","PF1","I/O","",""
"E3","PF4","I/O","",""
"E4","VSS","Power","",""
"E9","VSS","Power","",""
"E10","PC7","I/O","",""
"E11","PC9","I/O","",""
"E12","PC8","I/O","",""
"F1","PH0-OSC_IN (PH0)","I/O","",""
"F2","PF5","I/O","",""
"F3","PC2","I/O","",""
"F4","PC3","I/O","",""
"F6","VSS","Power","",""
"F7","VDD","Power","",""
"F9","PG6","I/O","",""
"F10","PG7","I/O","",""
"F11","PC6","I/O","",""
"F12","PG8","I/O","",""
"G1","PH1-OSC_OUT (PH1)","I/O","",""
"G2","NRST","Reset","",""
"G3","PC1","I/O","",""
"G4","PA1","I/O","",""
"G6","VDD","Power","",""
"G7","VSS","Power","",""
"G9","PG4","I/O","",""
"G10","PG2","I/O","",""
"G11","PG3","I/O","",""
"G12","PG5","I/O","",""
"H1","VSSA/VREF-","Power","",""
"H2","PC0","I/O","",""
"H3","OPAMP1_VINM","MonoIO","",""
"H4","VSS","Power","",""
"H9","VSS","Power","",""
"H10","PD14","I/O","",""
"H11","PD13","I/O","",""
"H12","PD15","I/O","",""
"J1","VREF+","MonoIO","",""
"J2","PA0","I/O","",""
"J3","PC5","I/O","",""
"J4","VDD","Power","",""
"J5","PF14","I/O","",""
"J6","PE8","I/O","",""
"J7","PE10","I/O","",""
"J8","PE12","I/O","",""
"J9","VDD","Power","",""
"J10","PD9","I/O","",""
"J11","PD11","I/O","",""
"J12","PD12","I/O","",""
"K1","VDDA","Power","",""
"K2","PA2","I/O","",""
"K3","PA7","I/O","",""
"K4","PB2","I/O","",""
"K5","PF11","I/O","",""
"K6","PG1","I/O","",""
"K7","PE7","I/O","",""
"K8","PE14","I/O","",""
"K9","PB10","I/O","",""
"K10","PB13","I/O","",""
"K11","PB14","I/O","",""
"K12","PB15","I/O","",""
"L1","PA3","I/O","",""
"L2","PA6","I/O","",""
"L3","PA4","I/O","",""
"L4","PB1","I/O","",""
"L5","PF12","I/O","",""
"L6","PF15","I/O","",""
"L7","PE11","I/O","",""
"L8","PE15","I/O","",""
"L9","PB11","I/O","",""
"L10","VSSSMPS","Power","",""
"L11","PB12","I/O","",""
"L12","PD8","I/O","",""
"M1","PA5","I/O","",""
"M2","OPAMP2_VINM","MonoIO","",""
"M3","PC4","I/O","",""
"M4","PB0","I/O","",""
"M5","PF13","I/O","",""
"M6","PG0","I/O","",""
"M7","PE9","I/O","",""
"M8","PE13","I/O","",""
"M9","VDDSMPS","Power","",""
"M10","VLXSMPS","Power","",""
"M11","V15SMPS","Power","",""
"M12","PD10","I/O","",""
