"Position","Name","Type","Signal","Label"
"1","PE2","I/O","",""
"2","PE3","I/O","",""
"3","PE4","I/O","",""
"4","PE5","I/O","",""
"5","PE6","I/O","",""
"6","VBAT","Power","",""
"7","PC13","I/O","",""
"8","PC14-OSC32_IN (PC14)","I/O","",""
"9","PC15-OSC32_OUT (PC15)","I/O","",""
"10","PF0","I/O","",""
"11","PF1","I/O","",""
"12","PF2","I/O","",""
"13","PF3","I/O","",""
"14","PF4","I/O","",""
"15","PF5","I/O","",""
"16","VSS","Power","",""
"17","VDD","Power","",""
"18","PF6","I/O","",""
"19","PF7","I/O","",""
"20","PF8","I/O","",""
"21","PF9","I/O","",""
"22","PF10","I/O","",""
"23","PH0-OSC_IN (PH0)","I/O","",""
"24","PH1-OSC_OUT (PH1)","I/O","",""
"25","NRST","Reset","",""
"26","PC0","I/O","",""
"27","PC1","I/O","",""
"28","PC2","I/O","",""
"29","PC3","I/O","",""
"30","VSSA/VREF-","Power","",""
"31","VREF+","MonoIO","",""
"32","VDDA","Power","",""
"33","PA0","I/O","",""
"34","PA1","I/O","",""
"35","PA2","I/O","",""
"36","PA3","I/O","",""
"37","VSS","Power","",""
"38","VDD","Power","",""
"39","PA4","I/O","",""
"40","PA5","I/O","",""
"41","PA6","I/O","",""
"42","PA7","I/O","",""
"43","PB0","I/O","",""
"44","PB1","I/O","",""
"45","PB2","I/O","",""
"46","PF11","I/O","",""
"47","PF12","I/O","",""
"48","VSS","Power","",""
"49","VDD","Power","",""
"50","PF13","I/O","",""
"51","PF14","I/O","",""
"52","PF15","I/O","",""
"53","PG0","I/O","",""
"54","PG1","I/O","",""
"55","PE7","I/O","",""
"56","PE8","I/O","",""
"57","PE9","I/O","",""
"58","VSS","Power","",""
"59","VDD","Power","",""
"60","PE10","I/O","",""
"61","PE11","I/O","",""
"62","PE12","I/O","",""
"63","PE13","I/O","",""
"64","PE14","I/O","",""
"65","PE15","I/O","",""
"66","PB10","I/O","",""
"67","PB11","I/O","",""
"68","VDDSMPS","Power","",""
"69","VLXSMPS","Power","",""
"70","VSSSMPS","Power","",""
"71","VSS","Power","",""
"72","V15SMPS","Power","",""
"73","VDD","Power","",""
"74","PB13","I/O","",""
"75","PB14","I/O","",""
"76","PB15","I/O","",""
"77","PD8","I/O","",""
"78","PD9","I/O","",""
"79","PD10","I/O","",""
"80","PD11","I/O","",""
"81","PD12","I/O","",""
"82","PD13","I/O","",""
"83","VSS","Power","",""
"84","VDD","Power","",""
"85","PD14","I/O","",""
"86","PD15","I/O","",""
"87","PG2","I/O","",""
"88","PG3","I/O","",""
"89","PG4","I/O","",""
"90","PG5","I/O","",""
"91","PG6","I/O","",""
"92","PG7","I/O","",""
"93","PG8","I/O","",""
"94","VSS","Power","",""
"95","VDDIO2","Power","",""
"96","PC6","I/O","",""
"97","PC7","I/O","",""
"98","PC8","I/O","",""
"99","PC9","I/O","",""
"100","PA8","I/O","",""
"101","PA9","I/O","",""
"102","PA10","I/O","",""
"103","PA11","I/O","",""
"104","PA12","I/O","",""
"105","PA13 (JTMS/SWDIO)","I/O","",""
"106","VDDUSB","Power","",""
"107","VSS","Power","",""
"108","VDD","Power","",""
"109","PA14 (JTCK/SWCLK)","I/O","",""
"110","PA15 (JTDI)","I/O","",""
"111","PC10","I/O","",""
"112","PC11","I/O","",""
"113","PC12","I/O","",""
"114","PD0","I/O","",""
"115","PD1","I/O","",""
"116","PD2","I/O","",""
"117","PD3","I/O","",""
"118","PD4","I/O","",""
"119","PD5","I/O","",""
"120","VSS","Power","",""
"121","VDD","Power","",""
"122","PD6","I/O","",""
"123","PD7","I/O","",""
"124","PG9","I/O","",""
"125","PG10","I/O","",""
"126","PG12","I/O","",""
"127","PG13","I/O","",""
"128","PG14","I/O","",""
"129","VSS","Power","",""
"130","VDDIO2","Power","",""
"131","PG15","I/O","",""
"132","PB3 (JTDO/TRACESWO)","I/O","",""
"133","PB4 (NJTRST)","I/O","",""
"134","PB5","I/O","",""
"135","PB6","I/O","",""
"136","PB7","I/O","",""
"137","PH3-BOOT0","I/O","",""
"138","PB8","I/O","",""
"139","PB9","I/O","",""
"140","PE0","I/O","",""
"141","PE1","I/O","",""
"142","VSS","Power","",""
"143","V15SMPS","Power","",""
"144","VDD","Power","",""
