"Position","Name","Type","Signal","Label"
"A1","VSS","Power","",""
"A2","PG15","I/O","",""
"A3","PD0","I/O","",""
"A4","PD1","I/O","",""
"A5","PE3","I/O","",""
"A6","PG6","I/O","",""
"A7","PB3","I/O","",""
"A8","PB15","I/O","",""
"A9","PC7","I/O","",""
"A10","PC9","I/O","",""
"A11","PC11","I/O","",""
"A12","VDD_DSI","Power","",""
"A13","DSIHOST_D0N","MonoIO","",""
"A14","DSIHOST_CKN","MonoIO","",""
"A15","DSIHOST_D1N","MonoIO","",""
"A16","VDD1V2_DSI_PHY","Power","",""
"A17","DDR_DQ0","MonoIO","",""
"A18","DDR_DQ1","MonoIO","",""
"A19","VSS","Power","",""
"B1","PE1","I/O","",""
"B2","VSS","Power","",""
"B3","PE6","I/O","",""
"B4","PD7","I/O","",""
"B5","PB7","I/O","",""
"B6","VSS","Power","",""
"B7","PE5","I/O","",""
"B8","PA8","I/O","",""
"B9","PB4","I/O","",""
"B10","PD2","I/O","",""
"B11","PE4","I/O","",""
"B12","VDDA1V8_DSI","Power","",""
"B13","DSIHOST_D0P","MonoIO","",""
"B14","DSIHOST_CKP","MonoIO","",""
"B15","DSIHOST_D1P","MonoIO","",""
"B16","VDD1V2_DSI_REG","Power","",""
"B17","DDR_DQ3","MonoIO","",""
"B18","DDR_DQ7","MonoIO","",""
"B19","DDR_DQS0N","MonoIO","",""
"C1","PE11","I/O","",""
"C2","PE13","I/O","",""
"C3","VSS","Power","",""
"C4","PE0","I/O","",""
"C5","PD10","I/O","",""
"C6","PD3","I/O","",""
"C7","PA15","I/O","",""
"C8","PA9","I/O","",""
"C9","PB14","I/O","",""
"C10","PC12","I/O","",""
"C11","PC8","I/O","",""
"C12","VSS_DSI","Power","",""
"C13","VSS_DSI","Power","",""
"C14","VSS_DSI","Power","",""
"C15","VSS_DSI","Power","",""
"C16","VSS_DSI","Power","",""
"C17","VSS","Power","",""
"C18","DDR_DQM0","MonoIO","",""
"C19","DDR_DQS0P","MonoIO","",""
"D1","VSS","Power","",""
"D2","PE12","I/O","",""
"D3","PE14","I/O","",""
"D4","VSS","Power","",""
"D5","VSS","Power","",""
"D6","PD4","I/O","",""
"D7","PD5","I/O","",""
"D8","VSS","Power","",""
"D9","PB9","I/O","",""
"D10","PC6","I/O","",""
"D11","PC10","I/O","",""
"D12","NJTRST","MonoIO","",""
"D13","JTDI","MonoIO","",""
"D14","JTDO-TRACESWO","MonoIO","",""
"D15","JTMS-SWDIO","MonoIO","",""
"D16","JTCK-SWCLK","MonoIO","",""
"D17","DDR_DQ5","MonoIO","",""
"D18","DDR_DQ2","MonoIO","",""
"D19","DDR_DQ6","MonoIO","",""
"E1","PE15","I/O","",""
"E2","VSS","Power","",""
"E3","PD6","I/O","",""
"E4","VSS","Power","",""
"E5","VSS","Power","",""
"E6","VSS","Power","",""
"E7","VDDCORE","Power","",""
"E8","VSS","Power","",""
"E9","VDDCORE","Power","",""
"E10","VSS","Power","",""
"E11","VDDCORE","Power","",""
"E12","VSS","Power","",""
"E13","VDDCORE","Power","",""
"E14","VSS","Power","",""
"E15","VDDQ_DDR","Power","",""
"E16","VSS","Power","",""
"E17","DDR_A7","MonoIO","",""
"E18","DDR_DQ4","MonoIO","",""
"F1","PG12","I/O","",""
"F2","PD8","I/O","",""
"F3","PD14","I/O","",""
"F4","VDDCORE","Power","",""
"F5","VSS","Power","",""
"F6","VDDCORE","Power","",""
"F7","VSS","Power","",""
"F8","VDDCORE","Power","",""
"F9","VSS","Power","",""
"F10","VDDCORE","Power","",""
"F11","VSS","Power","",""
"F12","VDDCORE","Power","",""
"F13","VSS_PLL2","Power","",""
"F14","VDDQ_DDR","Power","",""
"F15","VSS","Power","",""
"F17","DDR_A13","MonoIO","",""
"F18","DDR_ZQ","MonoIO","",""
"F19","DDR_A3","MonoIO","",""
"G1","PD15","I/O","",""
"G2","VSS","Power","",""
"G3","PD9","I/O","",""
"G4","VSS","Power","",""
"G5","VDDCORE","Power","",""
"G6","VSS","Power","",""
"G7","VDDCORE","Power","",""
"G8","VSS","Power","",""
"G9","VDDCORE","Power","",""
"G10","VSS","Power","",""
"G11","VDDCORE","Power","",""
"G12","VSS","Power","",""
"G13","VDD_PLL2","Power","",""
"G14","VSS","Power","",""
"G15","VDDQ_DDR","Power","",""
"G16","DDR_RESETN","MonoIO","",""
"G17","DDR_A9","MonoIO","",""
"G18","DDR_A2","MonoIO","",""
"G19","DDR_BA0","MonoIO","",""
"H1","PC14-OSC32_IN","I/O","",""
"H2","PC15-OSC32_OUT","I/O","",""
"H3","VBAT","Power","",""
"H4","VDDCORE","Power","",""
"H5","VSS","Power","",""
"H6","VDDCORE","Power","",""
"H7","VSS","Power","",""
"H8","VDDCORE","Power","",""
"H9","VSS","Power","",""
"H10","VDDCORE","Power","",""
"H11","VSS","Power","",""
"H12","VDDCORE","Power","",""
"H13","VSS","Power","",""
"H14","VDDQ_DDR","Power","",""
"H15","VSS","Power","",""
"H17","DDR_A5","MonoIO","",""
"H18","DDR_A0","MonoIO","",""
"H19","DDR_ODT","MonoIO","",""
"J1","NRST","Reset","",""
"J2","NRST_CORE","Reset","",""
"J3","VSS","Power","",""
"J4","VSS_PLL","Power","",""
"J5","VDD_PLL","Power","",""
"J6","VSS","Power","",""
"J7","VDDCORE","Power","",""
"J8","VSS","Power","",""
"J9","VDDCORE","Power","",""
"J10","VSS","Power","",""
"J11","VDDCORE","Power","",""
"J12","VSS","Power","",""
"J13","VDDCORE","Power","",""
"J14","VSS","Power","",""
"J15","VDDQ_DDR","Power","",""
"J16","DDR_BA2","MonoIO","",""
"J17","DDR_WEN","MonoIO","",""
"J18","DDR_CSN","MonoIO","",""
"J19","DDR_DTO1","MonoIO","",""
"K1","BOOT0","Boot","",""
"K2","VSS","Power","",""
"K3","PC13","I/O","",""
"K4","BOOT1","Boot","",""
"K5","VSS","Power","",""
"K6","VDD","Power","",""
"K7","VSS","Power","",""
"K8","VDDCORE","Power","",""
"K9","VSS","Power","",""
"K10","VDDCORE","Power","",""
"K11","VSS","Power","",""
"K12","VDDCORE","Power","",""
"K13","VSS","Power","",""
"K14","VDDQ_DDR","Power","",""
"K15","VSS","Power","",""
"K17","DDR_CASN","MonoIO","",""
"K18","DDR_DTO0","MonoIO","",""
"K19","DDR_CLKN","MonoIO","",""
"L1","PWR_ON","Power","",""
"L2","BOOT2","Boot","",""
"L3","VDD_ANA","Power","",""
"L4","VSS_ANA","Power","",""
"L5","VDD","Power","",""
"L6","VSS","Power","",""
"L7","VDD","Power","",""
"L8","VSS","Power","",""
"L9","VDDCORE","Power","",""
"L10","VSS","Power","",""
"L11","VDDCORE","Power","",""
"L12","VSS","Power","",""
"L13","VDDCORE","Power","",""
"L14","VSS","Power","",""
"L15","VDDQ_DDR","Power","",""
"L16","DDR_A15","MonoIO","",""
"L17","DDR_A12","MonoIO","",""
"L18","DDR_RASN","MonoIO","",""
"L19","DDR_CLKP","MonoIO","",""
"M1","PH0-OSC_IN","I/O","",""
"M2","PH1-OSC_OUT","I/O","",""
"M3","VREF-","Power","",""
"M4","VDDA","Power","",""
"M5","VSS","Power","",""
"M6","VDD","Power","",""
"M7","VSS","Power","",""
"M8","VDD","Power","",""
"M9","VSS","Power","",""
"M10","VDDCORE","Power","",""
"M11","VSS","Power","",""
"M12","VDDCORE","Power","",""
"M13","VSS","Power","",""
"M14","VDDQ_DDR","Power","",""
"M15","VSS","Power","",""
"M17","DDR_A1","MonoIO","",""
"M18","DDR_A11","MonoIO","",""
