"Position","Name","Type","Signal","Label"
"1","VBAT","Power","",""
"2","PC14-OSC32_IN","I/O","",""
"3","PC15-OSC32_OUT","I/O","",""
"4","PH3-BOOT0","I/O","",""
"5","PB8","I/O","",""
"6","PB9","I/O","",""
"7","NRST","Reset","",""
"8","VDDA","Power","",""
"9","PA0","I/O","",""
"10","PA1","I/O","",""
"11","PA2","I/O","",""
"12","PA3","I/O","",""
"13","PA4","I/O","",""
"14","PA5","I/O","",""
"15","PA6","I/O","",""
"16","PA7","I/O","",""
"17","PA8","I/O","",""
"18","PA9","I/O","",""
"19","PB2","I/O","",""
"20","VDD","Power","",""
"21","RF1","MonoIO","",""
"22","VSSRF","Power","",""
"23","VDDRF","Power","",""
"24","OSC_OUT","MonoIO","",""
"25","OSC_IN","MonoIO","",""
"26","AT0","NC","",""
"27","AT1","NC","",""
"28","PB0","I/O","",""
"29","PB1","I/O","",""
"30","PE4","I/O","",""
"31","VFBSMPS","Power","",""
"32","VSSSMPS","Power","",""
"33","VLXSMPS","Power","",""
"34","VDDSMPS","Power","",""
"35","VDD","Power","",""
"36","PA10","I/O","",""
"37","PA11","I/O","",""
"38","PA12","I/O","",""
"39","PA13","I/O","",""
"40","VDDUSB","Power","",""
"41","PA14","I/O","",""
"42","PA15","I/O","",""
"43","PB3","I/O","",""
"44","PB4","I/O","",""
"45","PB5","I/O","",""
"46","PB6","I/O","",""
"47","PB7","I/O","",""
"48","VDD","Power","",""
