"Position","Name","Type","Signal","Label"
"A1","PE1","I/O","",""
"A2","PB6","I/O","",""
"A3","PB5","I/O","",""
"A6","PD5","I/O","",""
"A7","PD10","I/O","",""
"A8","VDDCAP","Power","",""
"A11","PA13","I/O","",""
"A12","VDDUSB","Power","",""
"A13","PA12","I/O","",""
"B1","PE2","I/O","",""
"B2","PE0","I/O","",""
"B3","PB4","I/O","",""
"B4","PD12","I/O","",""
"B5","PD11","I/O","",""
"B6","PD8","I/O","",""
"B7","PD2","I/O","",""
"B8","VSS","Power","",""
"B9","PC10","I/O","",""
"B10","PC12","I/O","",""
"B11","PD0","I/O","",""
"B12","VSS","Power","",""
"B13","PA11","I/O","",""
"C1","PD13","I/O","",""
"C2","PD15","I/O","",""
"C3","PB7","I/O","",""
"C4","PB3","I/O","",""
"C5","PD7","I/O","",""
"C6","PD4","I/O","",""
"C7","PD1","I/O","",""
"C8","PC11","I/O","",""
"C9","PA15","I/O","",""
"C10","PA14","I/O","",""
"C11","VSS","Power","",""
"C12","PA10","I/O","",""
"C13","PC9","I/O","",""
"D2","VBAT","Power","",""
"D3","PD14","I/O","",""
"D4","PD9","I/O","",""
"D6","PD6","I/O","",""
"D8","PD3","I/O","",""
"D10","PC6","I/O","",""
"D11","PC8","I/O","",""
"D12","PC7","I/O","",""
"E2","PC15-OSC32_OUT","I/O","",""
"E3","PC14-OSC32_IN","I/O","",""
"E5","VSS","Power","",""
"E7","VSS","Power","",""
"E9","VSS","Power","",""
"E11","PB14","I/O","",""
"E12","PB13","I/O","",""
"F1","PH0","I/O","",""
"F2","VDDCAP","Power","",""
"F3","VSS","Power","",""
"F4","PC13","I/O","",""
"F6","VDD","Power","",""
"F8","VDD","Power","",""
"F10","PB15","I/O","",""
"F11","VLXSMPS","Power","",""
"F12","VDDSMPS","Power","",""
"F13","VDDSMPS","Power","",""
"G1","PH3-BOOT0","I/O","",""
"G2","PH1","I/O","",""
"G3","PB8","I/O","",""
"G5","VSS","Power","",""
"G7","VDD","Power","",""
"G9","VSS","Power","",""
"G11","VLXSMPS","Power","",""
"G12","VSSSMPS","Power","",""
"G13","VSSSMPS","Power","",""
"H1","PC1","I/O","",""
"H2","NRST","Reset","",""
"H3","PC0","I/O","",""
"H4","PB9","I/O","",""
"H6","VDD","Power","",""
"H8","VDD","Power","",""
"H10","PB12","I/O","",""
"H11","VFBSMPS","Power","",""
"H12","PE3","I/O","",""
"H13","PE4","I/O","",""
"J2","PC2","I/O","",""
"J3","PC3","I/O","",""
"J5","VSS","Power","",""
"J7","VSS","Power","",""
"J9","VSS","Power","",""
"J11","VSS","Power","",""
"J12","VDDCAP","Power","",""
"K2","VSSA","Power","",""
"K3","VDDA","Power","",""
"K4","VSS","Power","",""
"K6","VSS","Power","",""
"K8","VSSRF","Power","",""
"K10","VSSRF","Power","",""
"K11","AT0","NC","",""
"K12","AT1","NC","",""
"L1","VREF+","MonoIO","",""
"L2","PA1","I/O","",""
"L3","PA4","I/O","",""
"L4","PA9","I/O","",""
"L5","PC5","I/O","",""
"L6","PB10","I/O","",""
"L7","VSSRF","Power","",""
"L8","VSSRF","Power","",""
"L9","VSSRF","Power","",""
"L10","VSSRF","Power","",""
"L11","VSSRF","Power","",""
"L12","PB1","I/O","",""
"L13","PB0","I/O","",""
"M1","PA0","I/O","",""
"M2","PA3","I/O","",""
"M3","PA6","I/O","",""
"M4","PA8","I/O","",""
"M5","PC4","I/O","",""
"M6","PB11","I/O","",""
"M7","VSS","Power","",""
"M8","VSSRF","Power","",""
"M9","RF1","MonoIO","",""
"M10","VSSRF","Power","",""
"M11","VSSRF","Power","",""
"M12","VSSRF","Power","",""
"M13","OSC_IN","MonoIO","",""
"N1","PA2","I/O","",""
"N2","PA5","I/O","",""
"N3","PA7","I/O","",""
"N6","PB2","I/O","",""
"N7","VDDCAP","Power","",""
"N8","VSSRF","Power","",""
"N11","VSSRF","Power","",""
"N12","VDDRF","Power","",""
"N13","OSC_OUT","MonoIO","",""
