"Position","Name","Type","Signal","Label"
"A1","PA11","I/O","",""
"A2","PA12","I/O","",""
"A3","PA14","I/O","",""
"A4","PA15","I/O","",""
"A5","PA13","I/O","",""
"A6","PC10","I/O","",""
"A7","PD2","I/O","",""
"A8","PD7","I/O","",""
"A9","PB3","I/O","",""
"A10","VDD","Power","",""
"B1","VDD","Power","",""
"B2","VSS","Power","",""
"B3","VDDUSB","Power","",""
"B4","PC9","I/O","",""
"B5","PA10","I/O","",""
"B6","PC11","I/O","",""
"B7","PD5","I/O","",""
"B8","PD12","I/O","",""
"B9","VSS","Power","",""
"B10","PE1","I/O","",""
"C1","PB13","I/O","",""
"C2","PD3","I/O","",""
"C3","PD1","I/O","",""
"C4","PD0","I/O","",""
"C5","PC12","I/O","",""
"C6","PD6","I/O","",""
"C7","PB4","I/O","",""
"C8","PE0","I/O","",""
"C9","PD13","I/O","",""
"C10","VBAT","Power","",""
"D1","VDDSMPS","Power","",""
"D2","PC6","I/O","",""
"D3","PD4","I/O","",""
"D4","PD8","I/O","",""
"D5","PD9","I/O","",""
"D6","PB5","I/O","",""
"D7","PB7","I/O","",""
"D8","PD14","I/O","",""
"D9","PC15-OSC32_OUT","I/O","",""
"D10","PC14-OSC32_IN","I/O","",""
"E1","VLXSMPS","Power","",""
"E2","PB14","I/O","",""
"E3","PC7","I/O","",""
"E4","PD10","I/O","",""
"E5","PD11","I/O","",""
"E6","PE2","I/O","",""
"E7","PD15","I/O","",""
"E8","PH3-BOOT0","I/O","",""
"E9","PH1","I/O","",""
"E10","PH0","I/O","",""
"F1","VSSSMPS","Power","",""
"F2","VFBSMPS","Power","",""
"F3","PB15","I/O","",""
"F4","PC8","I/O","",""
"F5","PB6","I/O","",""
"F6","PA2","I/O","",""
"F7","PB8","I/O","",""
"F8","PC0","I/O","",""
"F9","NRST","Reset","",""
"F10","PB9","I/O","",""
"G1","PE4","I/O","",""
"G2","PE3","I/O","",""
"G3","PB12","I/O","",""
"G4","PC4","I/O","",""
"G5","PC13","I/O","",""
"G6","PA1","I/O","",""
"G7","PA0","I/O","",""
"G8","PC1","I/O","",""
"G9","PC2","I/O","",""
"G10","PC3","I/O","",""
"H1","PB1","I/O","",""
"H2","PB0","I/O","",""
"H3","AT0","NC","",""
"H4","AT1","NC","",""
"H5","PC5","I/O","",""
"H6","PA7","I/O","",""
"H7","PA6","I/O","",""
"H8","VREF+","MonoIO","",""
"H9","VDDA","Power","",""
"H10","VSSA","Power","",""
"J1","OSC_IN","MonoIO","",""
"J2","OSC_OUT","MonoIO","",""
"J3","VDDRF","Power","",""
"J4","VSSRF","Power","",""
"J5","VSS","Power","",""
"J6","PB11","I/O","",""
"J7","PA8","I/O","",""
"J8","PA3","I/O","",""
"J9","VSS","Power","",""
"J10","VDD","Power","",""
"K1","VSSRF","Power","",""
"K2","VSSRF","Power","",""
"K3","VSSRF","Power","",""
"K4","RF1","MonoIO","",""
"K5","VDD","Power","",""
"K6","PB10","I/O","",""
"K7","PB2","I/O","",""
"K8","PA9","I/O","",""
"K9","PA5","I/O","",""
"K10","PA4","I/O","",""
